sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-78.3841094970703125,
1380008000.800080061,-79.4616546630859375,
1380016001.6001601219,-78.995635986328125,
1380024002.4002401829,-79.64417266845703125,
1380032003.2003202438,-79.8454132080078125,
1380040004.0004003048,-79.13455963134765625,
1380048004.8004803658,-78.96709442138671875,
1380056005.6005604267,-79.60550689697265625,
1380064006.4006404877,-79.87221527099609375,
1380072007.2007205486,-78.92529296875,
1380080008.0008006096,-79.52822113037109375,
1380088008.8008806705,-79.84398651123046875,
1380096009.6009607315,-79.96136474609375,
1380104010.4010407925,-79.212860107421875,
1380112011.2011208534,-80.5509796142578125,
1380120012.0012009144,-79.7215728759765625,
1380128012.8012809753,-79.46532440185546875,
1380136013.6013610363,-80.0084686279296875,
1380144014.4014410973,-79.8363494873046875,
1380152015.2015211582,-79.64792633056640625,
1380160016.0016012192,-79.9106597900390625,
1380168016.8016812801,-79.23065948486328125,
1380176017.6017613411,-79.36572265625,
1380184018.4018414021,-79.37975311279296875,
1380192019.201921463,-78.6640472412109375,
1380200020.002001524,-79.086273193359375,
1380208020.8020815849,-79.51580047607421875,
1380216021.6021616459,-79.53745269775390625,
1380224022.4022417068,-78.9520111083984375,
1380232023.2023217678,-79.345855712890625,
1380240024.0024018288,-79.33818817138671875,
1380248024.8024818897,-79.66196441650390625,
1380256025.6025619507,-79.47083282470703125,
1380264026.4026420116,-78.4681549072265625,
1380272027.2027220726,-80.08380889892578125,
1380280028.0028021336,-79.02301788330078125,
1380288028.8028821945,-79.6414031982421875,
1380296029.6029622555,-80.421356201171875,
1380304030.4030423164,-79.50247955322265625,
1380312031.2031223774,-79.24626922607421875,
1380320032.0032024384,-79.611114501953125,
1380328032.8032824993,-79.62274932861328125,
1380336033.6033625603,-79.79018402099609375,
1380344034.4034426212,-79.58371734619140625,
1380352035.2035226822,-80.28054046630859375,
1380360036.0036027431,-78.8444671630859375,
1380368036.8036828041,-79.93914794921875,
1380376037.6037628651,-79.2436065673828125,
1380384038.403842926,-79.325592041015625,
1380392039.203922987,-78.33863067626953125,
1380400040.0040030479,-80.21148681640625,
1380408040.8040831089,-80.16574859619140625,
1380416041.6041631699,-78.9352264404296875,
1380424042.4042432308,-79.70984649658203125,
1380432043.2043232918,-79.49102020263671875,
1380440044.0044033527,-80.11483001708984375,
1380448044.8044834137,-80.30621337890625,
1380456045.6045634747,-78.86579132080078125,
1380464046.4046435356,-80.10251617431640625,
1380472047.2047235966,-79.62509918212890625,
1380480048.0048036575,-80.13161468505859375,
1380488048.8048837185,-80.2219696044921875,
