sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.0325775146484375,
1380008000.800080061,-79.69610595703125,
1380016001.6001601219,-79.4857025146484375,
1380024002.4002401829,-79.6403350830078125,
1380032003.2003202438,-79.76691436767578125,
1380040004.0004003048,-79.8694305419921875,
1380048004.8004803658,-80.3091583251953125,
1380056005.6005604267,-80.06931304931640625,
1380064006.4006404877,-79.96250152587890625,
1380072007.2007205486,-80.16902923583984375,
1380080008.0008006096,-78.70043182373046875,
1380088008.8008806705,-80.121002197265625,
1380096009.6009607315,-79.46600341796875,
1380104010.4010407925,-80.4572296142578125,
1380112011.2011208534,-79.65203857421875,
1380120012.0012009144,-79.71541595458984375,
1380128012.8012809753,-80.4218902587890625,
1380136013.6013610363,-79.8751983642578125,
1380144014.4014410973,-80.8751220703125,
1380152015.2015211582,-79.0093841552734375,
1380160016.0016012192,-79.51007080078125,
1380168016.8016812801,-79.51560211181640625,
1380176017.6017613411,-79.17737579345703125,
1380184018.4018414021,-79.4742584228515625,
1380192019.201921463,-79.5418853759765625,
1380200020.002001524,-79.2906036376953125,
1380208020.8020815849,-80.107208251953125,
1380216021.6021616459,-80.04238128662109375,
1380224022.4022417068,-81.1508636474609375,
1380232023.2023217678,-79.228912353515625,
1380240024.0024018288,-80.5610198974609375,
1380248024.8024818897,-78.6682281494140625,
1380256025.6025619507,-80.0860443115234375,
1380264026.4026420116,-79.79210662841796875,
1380272027.2027220726,-80.0497283935546875,
1380280028.0028021336,-80.32938385009765625,
1380288028.8028821945,-80.40149688720703125,
1380296029.6029622555,-79.975616455078125,
1380304030.4030423164,-80.75641632080078125,
1380312031.2031223774,-80.22234344482421875,
1380320032.0032024384,-79.06430816650390625,
1380328032.8032824993,-79.68956756591796875,
1380336033.6033625603,-80.6992340087890625,
1380344034.4034426212,-81.1004486083984375,
1380352035.2035226822,-79.60355377197265625,
1380360036.0036027431,-80.85739898681640625,
1380368036.8036828041,-79.78308868408203125,
1380376037.6037628651,-79.356842041015625,
1380384038.403842926,-80.22784423828125,
1380392039.203922987,-79.39672088623046875,
1380400040.0040030479,-80.14427947998046875,
1380408040.8040831089,-79.77597808837890625,
1380416041.6041631699,-80.1121673583984375,
1380424042.4042432308,-79.87284088134765625,
1380432043.2043232918,-80.15964508056640625,
1380440044.0044033527,-80.36995697021484375,
1380448044.8044834137,-80.423980712890625,
1380456045.6045634747,-80.22235870361328125,
1380464046.4046435356,-80.818267822265625,
1380472047.2047235966,-80.06348419189453125,
1380480048.0048036575,-80.1057586669921875,
1380488048.8048837185,-80.45368194580078125,
