sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.60660552978515625,
1380008000.800080061,-80.25957489013671875,
1380016001.6001601219,-79.6432342529296875,
1380024002.4002401829,-79.9505462646484375,
1380032003.2003202438,-80.40326690673828125,
1380040004.0004003048,-79.8690948486328125,
1380048004.8004803658,-80.9468841552734375,
1380056005.6005604267,-80.29578399658203125,
1380064006.4006404877,-80.73921966552734375,
1380072007.2007205486,-79.25925445556640625,
1380080008.0008006096,-80.81537628173828125,
1380088008.8008806705,-80.12368011474609375,
1380096009.6009607315,-79.393096923828125,
1380104010.4010407925,-80.7865447998046875,
1380112011.2011208534,-80.10837554931640625,
1380120012.0012009144,-78.36313629150390625,
1380128012.8012809753,-80.27666473388671875,
1380136013.6013610363,-80.5706634521484375,
1380144014.4014410973,-80.48270416259765625,
1380152015.2015211582,-80.0778656005859375,
1380160016.0016012192,-80.462646484375,
1380168016.8016812801,-80.955047607421875,
1380176017.6017613411,-80.32556915283203125,
1380184018.4018414021,-79.55490875244140625,
1380192019.201921463,-80.04402923583984375,
1380200020.002001524,-79.5836334228515625,
1380208020.8020815849,-80.35495758056640625,
1380216021.6021616459,-80.77483367919921875,
1380224022.4022417068,-79.29242706298828125,
1380232023.2023217678,-80.5634002685546875,
1380240024.0024018288,-79.95008087158203125,
1380248024.8024818897,-80.3920745849609375,
1380256025.6025619507,-80.13555908203125,
1380264026.4026420116,-79.869598388671875,
1380272027.2027220726,-80.2581024169921875,
1380280028.0028021336,-80.31194305419921875,
1380288028.8028821945,-80.605072021484375,
1380296029.6029622555,-80.38291168212890625,
1380304030.4030423164,-80.141998291015625,
1380312031.2031223774,-80.14794158935546875,
1380320032.0032024384,-79.9714202880859375,
1380328032.8032824993,-80.09755706787109375,
1380336033.6033625603,-79.853790283203125,
1380344034.4034426212,-79.6924896240234375,
1380352035.2035226822,-80.03867340087890625,
1380360036.0036027431,-80.627044677734375,
1380368036.8036828041,-80.2385711669921875,
1380376037.6037628651,-79.67606353759765625,
1380384038.403842926,-80.01522064208984375,
1380392039.203922987,-80.1593475341796875,
1380400040.0040030479,-79.8662567138671875,
1380408040.8040831089,-80.22107696533203125,
1380416041.6041631699,-80.34787750244140625,
1380424042.4042432308,-79.1707611083984375,
1380432043.2043232918,-79.82035064697265625,
1380440044.0044033527,-80.5193634033203125,
1380448044.8044834137,-79.88979339599609375,
1380456045.6045634747,-80.28978729248046875,
1380464046.4046435356,-79.95301055908203125,
1380472047.2047235966,-79.12574005126953125,
1380480048.0048036575,-80.27318572998046875,
1380488048.8048837185,-79.507415771484375,
