sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.2228546142578125,
1380008000.800080061,-80.73870086669921875,
1380016001.6001601219,-77.40398406982421875,
1380024002.4002401829,-79.93845367431640625,
1380032003.2003202438,-79.9796295166015625,
1380040004.0004003048,-80.3765106201171875,
1380048004.8004803658,-80.30312347412109375,
1380056005.6005604267,-80.2875213623046875,
1380064006.4006404877,-80.523101806640625,
1380072007.2007205486,-78.8754425048828125,
1380080008.0008006096,-80.45565032958984375,
1380088008.8008806705,-80.02588653564453125,
1380096009.6009607315,-79.487884521484375,
1380104010.4010407925,-80.92889404296875,
1380112011.2011208534,-80.33898162841796875,
1380120012.0012009144,-81.18280029296875,
1380128012.8012809753,-78.705657958984375,
1380136013.6013610363,-79.8941192626953125,
1380144014.4014410973,-78.82556915283203125,
1380152015.2015211582,-79.07659149169921875,
1380160016.0016012192,-79.9888763427734375,
1380168016.8016812801,-80.348114013671875,
1380176017.6017613411,-80.76419830322265625,
1380184018.4018414021,-80.59369659423828125,
1380192019.201921463,-79.28205108642578125,
1380200020.002001524,-80.09893798828125,
1380208020.8020815849,-79.75722503662109375,
1380216021.6021616459,-80.40860748291015625,
1380224022.4022417068,-80.4495086669921875,
1380232023.2023217678,-80.84161376953125,
1380240024.0024018288,-79.7529754638671875,
1380248024.8024818897,-80.185516357421875,
1380256025.6025619507,-79.83376312255859375,
1380264026.4026420116,-80.0674896240234375,
1380272027.2027220726,-80.4998931884765625,
1380280028.0028021336,-79.78188323974609375,
1380288028.8028821945,-80.06111907958984375,
1380296029.6029622555,-80.25341033935546875,
1380304030.4030423164,-79.90135955810546875,
1380312031.2031223774,-80.3902740478515625,
1380320032.0032024384,-79.5611724853515625,
1380328032.8032824993,-79.91098785400390625,
1380336033.6033625603,-79.6776275634765625,
1380344034.4034426212,-79.95154571533203125,
1380352035.2035226822,-79.575531005859375,
1380360036.0036027431,-80.86417388916015625,
1380368036.8036828041,-79.83521270751953125,
1380376037.6037628651,-79.92063140869140625,
1380384038.403842926,-79.4444427490234375,
1380392039.203922987,-79.9153289794921875,
1380400040.0040030479,-80.85504913330078125,
1380408040.8040831089,-80.249908447265625,
1380416041.6041631699,-80.13298797607421875,
1380424042.4042432308,-80.35016632080078125,
1380432043.2043232918,-79.52010345458984375,
1380440044.0044033527,-80.524688720703125,
1380448044.8044834137,-80.0381317138671875,
1380456045.6045634747,-81.01329803466796875,
1380464046.4046435356,-80.1290435791015625,
1380472047.2047235966,-79.25479888916015625,
1380480048.0048036575,-80.81273651123046875,
1380488048.8048837185,-80.9887237548828125,
