sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.26737213134765625,
1380008000.800080061,-79.81682586669921875,
1380016001.6001601219,-80.39687347412109375,
1380024002.4002401829,-80.84929656982421875,
1380032003.2003202438,-80.0184173583984375,
1380040004.0004003048,-81.09984588623046875,
1380048004.8004803658,-80.43518829345703125,
1380056005.6005604267,-80.52626800537109375,
1380064006.4006404877,-80.41320037841796875,
1380072007.2007205486,-80.23731231689453125,
1380080008.0008006096,-80.49219512939453125,
1380088008.8008806705,-79.66092681884765625,
1380096009.6009607315,-80.26035308837890625,
1380104010.4010407925,-80.7240447998046875,
1380112011.2011208534,-78.8377532958984375,
1380120012.0012009144,-79.9974822998046875,
1380128012.8012809753,-80.63297271728515625,
1380136013.6013610363,-80.23681640625,
1380144014.4014410973,-80.4050445556640625,
1380152015.2015211582,-78.5359954833984375,
1380160016.0016012192,-79.96154022216796875,
1380168016.8016812801,-79.63848876953125,
1380176017.6017613411,-80.57452392578125,
1380184018.4018414021,-80.7984619140625,
1380192019.201921463,-80.1630859375,
1380200020.002001524,-79.9349212646484375,
1380208020.8020815849,-79.51975250244140625,
1380216021.6021616459,-80.529388427734375,
1380224022.4022417068,-80.5423431396484375,
1380232023.2023217678,-80.92806243896484375,
1380240024.0024018288,-80.61676788330078125,
1380248024.8024818897,-80.677093505859375,
1380256025.6025619507,-80.66132354736328125,
1380264026.4026420116,-79.86130523681640625,
1380272027.2027220726,-79.91802978515625,
1380280028.0028021336,-80.35065460205078125,
1380288028.8028821945,-80.30161285400390625,
1380296029.6029622555,-79.422637939453125,
1380304030.4030423164,-80.700286865234375,
1380312031.2031223774,-80.5304412841796875,
1380320032.0032024384,-80.3385009765625,
1380328032.8032824993,-80.66552734375,
1380336033.6033625603,-80.78568267822265625,
1380344034.4034426212,-80.5839080810546875,
1380352035.2035226822,-80.33951568603515625,
1380360036.0036027431,-78.82970428466796875,
1380368036.8036828041,-80.91834259033203125,
1380376037.6037628651,-80.25386810302734375,
1380384038.403842926,-80.0087127685546875,
1380392039.203922987,-79.8718719482421875,
1380400040.0040030479,-80.79848480224609375,
1380408040.8040831089,-79.43541717529296875,
1380416041.6041631699,-79.324798583984375,
1380424042.4042432308,-79.51930999755859375,
1380432043.2043232918,-80.41783905029296875,
1380440044.0044033527,-79.47153472900390625,
1380448044.8044834137,-80.714569091796875,
1380456045.6045634747,-80.53719329833984375,
1380464046.4046435356,-80.8794708251953125,
1380472047.2047235966,-79.3469085693359375,
1380480048.0048036575,-79.35730743408203125,
1380488048.8048837185,-79.74566650390625,
