sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.38294219970703125,
1380008000.800080061,-80.29431915283203125,
1380016001.6001601219,-80.765960693359375,
1380024002.4002401829,-80.23212432861328125,
1380032003.2003202438,-79.42292022705078125,
1380040004.0004003048,-79.7959747314453125,
1380048004.8004803658,-80.40169525146484375,
1380056005.6005604267,-79.5958251953125,
1380064006.4006404877,-79.10245513916015625,
1380072007.2007205486,-80.51351165771484375,
1380080008.0008006096,-79.42475128173828125,
1380088008.8008806705,-80.41547393798828125,
1380096009.6009607315,-80.18329620361328125,
1380104010.4010407925,-80.05846405029296875,
1380112011.2011208534,-79.323333740234375,
1380120012.0012009144,-79.67984771728515625,
1380128012.8012809753,-80.3605194091796875,
1380136013.6013610363,-79.2440338134765625,
1380144014.4014410973,-79.98578643798828125,
1380152015.2015211582,-80.011566162109375,
1380160016.0016012192,-80.1480865478515625,
1380168016.8016812801,-79.46630096435546875,
1380176017.6017613411,-79.2351226806640625,
1380184018.4018414021,-80.40018463134765625,
1380192019.201921463,-80.31046295166015625,
1380200020.002001524,-79.149993896484375,
1380208020.8020815849,-80.298370361328125,
1380216021.6021616459,-79.21954345703125,
1380224022.4022417068,-78.14215850830078125,
1380232023.2023217678,-79.39703369140625,
1380240024.0024018288,-79.92479705810546875,
1380248024.8024818897,-80.033050537109375,
1380256025.6025619507,-80.249664306640625,
1380264026.4026420116,-79.24137115478515625,
1380272027.2027220726,-79.78365325927734375,
1380280028.0028021336,-78.77480316162109375,
1380288028.8028821945,-79.9872589111328125,
1380296029.6029622555,-80.1858062744140625,
1380304030.4030423164,-79.15839385986328125,
1380312031.2031223774,-80.06878662109375,
1380320032.0032024384,-80.28781890869140625,
1380328032.8032824993,-80.3971405029296875,
1380336033.6033625603,-79.5527801513671875,
1380344034.4034426212,-79.5384674072265625,
1380352035.2035226822,-78.98134613037109375,
1380360036.0036027431,-79.96930694580078125,
1380368036.8036828041,-79.89015960693359375,
1380376037.6037628651,-80.45540618896484375,
1380384038.403842926,-78.91754150390625,
1380392039.203922987,-79.77181243896484375,
1380400040.0040030479,-79.39887237548828125,
1380408040.8040831089,-79.65038299560546875,
1380416041.6041631699,-79.694427490234375,
1380424042.4042432308,-80.30292510986328125,
1380432043.2043232918,-80.0281829833984375,
1380440044.0044033527,-79.54077911376953125,
1380448044.8044834137,-80.4467010498046875,
1380456045.6045634747,-80.38391876220703125,
1380464046.4046435356,-79.10514068603515625,
1380472047.2047235966,-80.4104156494140625,
1380480048.0048036575,-80.03209686279296875,
1380488048.8048837185,-80.0746917724609375,
