sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.766326904296875,
1380008000.800080061,-80.29827880859375,
1380016001.6001601219,-80.0561370849609375,
1380024002.4002401829,-80.3549346923828125,
1380032003.2003202438,-81.01421356201171875,
1380040004.0004003048,-80.6396942138671875,
1380048004.8004803658,-80.66542816162109375,
1380056005.6005604267,-80.42577362060546875,
1380064006.4006404877,-79.34288787841796875,
1380072007.2007205486,-80.80059814453125,
1380080008.0008006096,-79.549957275390625,
1380088008.8008806705,-79.97318267822265625,
1380096009.6009607315,-80.353424072265625,
1380104010.4010407925,-79.37412261962890625,
1380112011.2011208534,-80.665435791015625,
1380120012.0012009144,-80.15081024169921875,
1380128012.8012809753,-79.88524627685546875,
1380136013.6013610363,-80.2721099853515625,
1380144014.4014410973,-79.72518157958984375,
1380152015.2015211582,-79.200439453125,
1380160016.0016012192,-80.06842041015625,
1380168016.8016812801,-80.23249053955078125,
1380176017.6017613411,-80.11371612548828125,
1380184018.4018414021,-79.12346649169921875,
1380192019.201921463,-79.30999755859375,
1380200020.002001524,-79.9853515625,
1380208020.8020815849,-80.2480316162109375,
1380216021.6021616459,-79.84352874755859375,
1380224022.4022417068,-80.44319915771484375,
1380232023.2023217678,-80.56244659423828125,
1380240024.0024018288,-80.191070556640625,
1380248024.8024818897,-80.05371856689453125,
1380256025.6025619507,-79.89440155029296875,
1380264026.4026420116,-80.57285308837890625,
1380272027.2027220726,-80.50185394287109375,
1380280028.0028021336,-79.8972930908203125,
1380288028.8028821945,-79.7791748046875,
1380296029.6029622555,-80.25856781005859375,
1380304030.4030423164,-80.75267791748046875,
1380312031.2031223774,-79.72426605224609375,
1380320032.0032024384,-80.1508331298828125,
1380328032.8032824993,-81.0104217529296875,
1380336033.6033625603,-79.3248748779296875,
1380344034.4034426212,-80.19406890869140625,
1380352035.2035226822,-80.00386810302734375,
1380360036.0036027431,-79.69928741455078125,
1380368036.8036828041,-80.47299957275390625,
1380376037.6037628651,-79.92382049560546875,
1380384038.403842926,-80.1394500732421875,
1380392039.203922987,-80.32407379150390625,
1380400040.0040030479,-80.5650634765625,
1380408040.8040831089,-80.68811798095703125,
1380416041.6041631699,-79.43740081787109375,
1380424042.4042432308,-80.14638519287109375,
1380432043.2043232918,-80.53704071044921875,
1380440044.0044033527,-79.090972900390625,
1380448044.8044834137,-78.77008819580078125,
1380456045.6045634747,-79.79584503173828125,
1380464046.4046435356,-81.31224822998046875,
1380472047.2047235966,-79.65705108642578125,
1380480048.0048036575,-80.33116912841796875,
1380488048.8048837185,-80.24304962158203125,
