sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-78.7575531005859375,
1380008000.800080061,-79.0774993896484375,
1380016001.6001601219,-79.3039703369140625,
1380024002.4002401829,-79.4479522705078125,
1380032003.2003202438,-78.58017730712890625,
1380040004.0004003048,-78.80745697021484375,
1380048004.8004803658,-79.4639434814453125,
1380056005.6005604267,-78.7529144287109375,
1380064006.4006404877,-79.44065093994140625,
1380072007.2007205486,-80.17364501953125,
1380080008.0008006096,-79.530517578125,
1380088008.8008806705,-79.7050933837890625,
1380096009.6009607315,-78.878570556640625,
1380104010.4010407925,-79.8846893310546875,
1380112011.2011208534,-79.6820831298828125,
1380120012.0012009144,-79.54205322265625,
1380128012.8012809753,-79.29590606689453125,
1380136013.6013610363,-79.42516326904296875,
1380144014.4014410973,-79.0775146484375,
1380152015.2015211582,-79.10073089599609375,
1380160016.0016012192,-78.60543060302734375,
1380168016.8016812801,-79.23822784423828125,
1380176017.6017613411,-79.6816253662109375,
1380184018.4018414021,-78.89226531982421875,
1380192019.201921463,-78.434356689453125,
1380200020.002001524,-79.8502044677734375,
1380208020.8020815849,-79.43337249755859375,
1380216021.6021616459,-80.26446533203125,
1380224022.4022417068,-79.99875640869140625,
1380232023.2023217678,-79.49144744873046875,
1380240024.0024018288,-79.9793243408203125,
1380248024.8024818897,-79.16855621337890625,
1380256025.6025619507,-79.17607879638671875,
1380264026.4026420116,-79.4603118896484375,
1380272027.2027220726,-78.1415863037109375,
1380280028.0028021336,-79.48320770263671875,
1380288028.8028821945,-79.6348724365234375,
1380296029.6029622555,-79.681640625,
1380304030.4030423164,-79.6381378173828125,
1380312031.2031223774,-79.0714111328125,
1380320032.0032024384,-79.4969635009765625,
1380328032.8032824993,-79.64234161376953125,
1380336033.6033625603,-79.57027435302734375,
1380344034.4034426212,-80.07743072509765625,
1380352035.2035226822,-79.28696441650390625,
1380360036.0036027431,-79.5661163330078125,
1380368036.8036828041,-78.992645263671875,
1380376037.6037628651,-79.18538665771484375,
1380384038.403842926,-79.497894287109375,
1380392039.203922987,-78.95331573486328125,
1380400040.0040030479,-79.54901123046875,
1380408040.8040831089,-79.8890533447265625,
1380416041.6041631699,-79.244049072265625,
1380424042.4042432308,-79.315704345703125,
1380432043.2043232918,-79.81207275390625,
1380440044.0044033527,-79.4997406005859375,
1380448044.8044834137,-78.87262725830078125,
1380456045.6045634747,-79.1310882568359375,
1380464046.4046435356,-79.510772705078125,
1380472047.2047235966,-79.0339202880859375,
1380480048.0048036575,-79.62976837158203125,
1380488048.8048837185,-78.1188507080078125,
