sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.06810760498046875,
1380008000.800080061,-79.6970062255859375,
1380016001.6001601219,-79.6024627685546875,
1380024002.4002401829,-79.594085693359375,
1380032003.2003202438,-78.6983489990234375,
1380040004.0004003048,-79.90705108642578125,
1380048004.8004803658,-80.2457275390625,
1380056005.6005604267,-79.53292083740234375,
1380064006.4006404877,-79.935546875,
1380072007.2007205486,-79.66600799560546875,
1380080008.0008006096,-80.53211212158203125,
1380088008.8008806705,-79.945709228515625,
1380096009.6009607315,-80.0049896240234375,
1380104010.4010407925,-80.1549835205078125,
1380112011.2011208534,-79.8073577880859375,
1380120012.0012009144,-79.78688812255859375,
1380128012.8012809753,-79.037109375,
1380136013.6013610363,-79.9840545654296875,
1380144014.4014410973,-79.7816619873046875,
1380152015.2015211582,-79.677276611328125,
1380160016.0016012192,-80.32530975341796875,
1380168016.8016812801,-79.34474945068359375,
1380176017.6017613411,-79.58156585693359375,
1380184018.4018414021,-79.47586822509765625,
1380192019.201921463,-80.0015869140625,
1380200020.002001524,-80.1564788818359375,
1380208020.8020815849,-78.6423492431640625,
1380216021.6021616459,-80.4347686767578125,
1380224022.4022417068,-79.00707244873046875,
1380232023.2023217678,-79.05152130126953125,
1380240024.0024018288,-79.70973968505859375,
1380248024.8024818897,-80.28192138671875,
1380256025.6025619507,-79.9884490966796875,
1380264026.4026420116,-80.33847808837890625,
1380272027.2027220726,-79.96076202392578125,
1380280028.0028021336,-80.20475006103515625,
1380288028.8028821945,-79.97483062744140625,
1380296029.6029622555,-80.17835235595703125,
1380304030.4030423164,-80.1853179931640625,
1380312031.2031223774,-79.437896728515625,
1380320032.0032024384,-80.30460357666015625,
1380328032.8032824993,-80.06175994873046875,
1380336033.6033625603,-79.8834991455078125,
1380344034.4034426212,-79.49609375,
1380352035.2035226822,-79.54497528076171875,
1380360036.0036027431,-79.5904083251953125,
1380368036.8036828041,-80.52231597900390625,
1380376037.6037628651,-79.7603302001953125,
1380384038.403842926,-80.608642578125,
1380392039.203922987,-79.84033966064453125,
1380400040.0040030479,-79.80072021484375,
1380408040.8040831089,-78.6963043212890625,
1380416041.6041631699,-79.80786895751953125,
1380424042.4042432308,-79.886871337890625,
1380432043.2043232918,-80.31371307373046875,
1380440044.0044033527,-79.90227508544921875,
1380448044.8044834137,-79.88254547119140625,
1380456045.6045634747,-80.7143402099609375,
1380464046.4046435356,-79.78408050537109375,
1380472047.2047235966,-79.55146026611328125,
1380480048.0048036575,-80.11840057373046875,
1380488048.8048837185,-79.825531005859375,
1380496049.6049637794,-79.48876190185546875,
