sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-78.94982147216796875,
1380008000.800080061,-80.27196502685546875,
1380016001.6001601219,-79.97637939453125,
1380024002.4002401829,-79.8938140869140625,
1380032003.2003202438,-79.7498779296875,
1380040004.0004003048,-78.45752716064453125,
1380048004.8004803658,-80.34455108642578125,
1380056005.6005604267,-79.8885345458984375,
1380064006.4006404877,-79.717803955078125,
1380072007.2007205486,-79.3498992919921875,
1380080008.0008006096,-79.957489013671875,
1380088008.8008806705,-79.9710540771484375,
1380096009.6009607315,-79.83013916015625,
1380104010.4010407925,-79.85211181640625,
1380112011.2011208534,-79.6488494873046875,
1380120012.0012009144,-79.18491363525390625,
1380128012.8012809753,-78.83379364013671875,
1380136013.6013610363,-80.24991607666015625,
1380144014.4014410973,-79.87798309326171875,
1380152015.2015211582,-79.4333648681640625,
1380160016.0016012192,-79.2115325927734375,
1380168016.8016812801,-79.4506988525390625,
1380176017.6017613411,-78.9969635009765625,
1380184018.4018414021,-79.919342041015625,
1380192019.201921463,-80.01529693603515625,
1380200020.002001524,-79.1920166015625,
1380208020.8020815849,-79.49098968505859375,
1380216021.6021616459,-80.40399932861328125,
1380224022.4022417068,-78.7584228515625,
1380232023.2023217678,-79.8435211181640625,
1380240024.0024018288,-79.406982421875,
1380248024.8024818897,-80.10199737548828125,
1380256025.6025619507,-80.4218597412109375,
1380264026.4026420116,-79.87847900390625,
1380272027.2027220726,-79.19512176513671875,
1380280028.0028021336,-79.6199493408203125,
1380288028.8028821945,-78.87645721435546875,
1380296029.6029622555,-79.12622833251953125,
1380304030.4030423164,-80.16822052001953125,
1380312031.2031223774,-80.35674285888671875,
1380320032.0032024384,-79.71971893310546875,
1380328032.8032824993,-78.973175048828125,
1380336033.6033625603,-79.63907623291015625,
1380344034.4034426212,-78.19556427001953125,
1380352035.2035226822,-80.29361724853515625,
1380360036.0036027431,-79.26458740234375,
1380368036.8036828041,-79.40381622314453125,
1380376037.6037628651,-79.9914703369140625,
1380384038.403842926,-79.39383697509765625,
1380392039.203922987,-79.61624908447265625,
1380400040.0040030479,-80.13111114501953125,
1380408040.8040831089,-80.2109832763671875,
1380416041.6041631699,-80.31781005859375,
1380424042.4042432308,-80.09513092041015625,
1380432043.2043232918,-80.133575439453125,
1380440044.0044033527,-79.77785491943359375,
1380448044.8044834137,-79.4438934326171875,
1380456045.6045634747,-79.9681854248046875,
1380464046.4046435356,-79.76601409912109375,
1380472047.2047235966,-79.98371124267578125,
1380480048.0048036575,-79.6995086669921875,
1380488048.8048837185,-79.92371368408203125,
