sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.52393341064453125,
1380008000.800080061,-80.48680877685546875,
1380016001.6001601219,-79.48805999755859375,
1380024002.4002401829,-80.10787200927734375,
1380032003.2003202438,-79.93071746826171875,
1380040004.0004003048,-80.5395050048828125,
1380048004.8004803658,-79.41400909423828125,
1380056005.6005604267,-78.979400634765625,
1380064006.4006404877,-79.97382354736328125,
1380072007.2007205486,-80.65898895263671875,
1380080008.0008006096,-79.81267547607421875,
1380088008.8008806705,-80.2877349853515625,
1380096009.6009607315,-79.54471588134765625,
1380104010.4010407925,-80.8185882568359375,
1380112011.2011208534,-80.8448486328125,
1380120012.0012009144,-80.6254425048828125,
1380128012.8012809753,-80.2030792236328125,
1380136013.6013610363,-80.14643096923828125,
1380144014.4014410973,-80.0729522705078125,
1380152015.2015211582,-79.37450408935546875,
1380160016.0016012192,-80.02398681640625,
1380168016.8016812801,-80.45084381103515625,
1380176017.6017613411,-80.91220855712890625,
1380184018.4018414021,-80.82823944091796875,
1380192019.201921463,-79.93073272705078125,
1380200020.002001524,-79.8293914794921875,
1380208020.8020815849,-79.2906341552734375,
1380216021.6021616459,-79.44594573974609375,
1380224022.4022417068,-80.46831512451171875,
1380232023.2023217678,-79.9196319580078125,
1380240024.0024018288,-79.1486358642578125,
1380248024.8024818897,-80.1434783935546875,
1380256025.6025619507,-79.81221771240234375,
1380264026.4026420116,-79.77133941650390625,
1380272027.2027220726,-80.1499176025390625,
1380280028.0028021336,-79.44367218017578125,
1380288028.8028821945,-79.52719879150390625,
1380296029.6029622555,-79.10943603515625,
1380304030.4030423164,-79.1195526123046875,
1380312031.2031223774,-80.57952880859375,
1380320032.0032024384,-80.520904541015625,
1380328032.8032824993,-78.950042724609375,
1380336033.6033625603,-79.2382965087890625,
1380344034.4034426212,-80.04160308837890625,
1380352035.2035226822,-79.46242523193359375,
1380360036.0036027431,-80.14893341064453125,
1380368036.8036828041,-79.30951690673828125,
1380376037.6037628651,-79.43090057373046875,
1380384038.403842926,-80.65746307373046875,
1380392039.203922987,-81.03699493408203125,
1380400040.0040030479,-79.0185089111328125,
1380408040.8040831089,-79.68639373779296875,
1380416041.6041631699,-79.75193023681640625,
1380424042.4042432308,-79.98844146728515625,
1380432043.2043232918,-79.5336761474609375,
1380440044.0044033527,-79.5115509033203125,
1380448044.8044834137,-79.58180999755859375,
1380456045.6045634747,-79.2996368408203125,
1380464046.4046435356,-78.69744110107421875,
1380472047.2047235966,-80.27972412109375,
1380480048.0048036575,-79.5711517333984375,
1380488048.8048837185,-80.652740478515625,
