sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.65399169921875,
1380008000.800080061,-79.7945709228515625,
1380016001.6001601219,-79.0988616943359375,
1380024002.4002401829,-80.36254119873046875,
1380032003.2003202438,-79.3184814453125,
1380040004.0004003048,-79.42174530029296875,
1380048004.8004803658,-79.3917236328125,
1380056005.6005604267,-79.7741546630859375,
1380064006.4006404877,-79.22577667236328125,
1380072007.2007205486,-79.5905914306640625,
1380080008.0008006096,-80.14989471435546875,
1380088008.8008806705,-79.896484375,
1380096009.6009607315,-79.47109222412109375,
1380104010.4010407925,-78.92803955078125,
1380112011.2011208534,-79.021514892578125,
1380120012.0012009144,-79.0171661376953125,
1380128012.8012809753,-79.9215545654296875,
1380136013.6013610363,-79.28209686279296875,
1380144014.4014410973,-79.9321746826171875,
1380152015.2015211582,-79.79174041748046875,
1380160016.0016012192,-79.71411895751953125,
1380168016.8016812801,-80.19312286376953125,
1380176017.6017613411,-79.9418487548828125,
1380184018.4018414021,-79.44001007080078125,
1380192019.201921463,-80.5779571533203125,
1380200020.002001524,-79.66010284423828125,
1380208020.8020815849,-79.92059326171875,
1380216021.6021616459,-80.5644378662109375,
1380224022.4022417068,-80.46933746337890625,
1380232023.2023217678,-80.2671356201171875,
1380240024.0024018288,-79.5957183837890625,
1380248024.8024818897,-79.87439727783203125,
1380256025.6025619507,-79.8112640380859375,
1380264026.4026420116,-79.7836761474609375,
1380272027.2027220726,-80.26361846923828125,
1380280028.0028021336,-78.76474761962890625,
1380288028.8028821945,-79.52674102783203125,
1380296029.6029622555,-79.35640716552734375,
1380304030.4030423164,-79.30411529541015625,
1380312031.2031223774,-80.40329742431640625,
1380320032.0032024384,-79.67230224609375,
1380328032.8032824993,-79.61993408203125,
1380336033.6033625603,-80.28977203369140625,
1380344034.4034426212,-79.4072113037109375,
1380352035.2035226822,-79.40584564208984375,
1380360036.0036027431,-80.1177825927734375,
1380368036.8036828041,-78.4776611328125,
1380376037.6037628651,-80.14349365234375,
1380384038.403842926,-80.513671875,
1380392039.203922987,-79.65778350830078125,
1380400040.0040030479,-79.49683380126953125,
1380408040.8040831089,-79.05554962158203125,
1380416041.6041631699,-80.62390899658203125,
1380424042.4042432308,-79.98358154296875,
1380432043.2043232918,-79.84423065185546875,
1380440044.0044033527,-80.27870941162109375,
1380448044.8044834137,-79.55261993408203125,
1380456045.6045634747,-79.493621826171875,
1380464046.4046435356,-80.54473876953125,
1380472047.2047235966,-80.03134918212890625,
1380480048.0048036575,-79.0809326171875,
1380488048.8048837185,-80.18419647216796875,
1380496049.6049637794,-80.095611572265625,
