sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.25873565673828125,
1380008000.800080061,-79.395599365234375,
1380016001.6001601219,-78.4856719970703125,
1380024002.4002401829,-79.9676513671875,
1380032003.2003202438,-79.59667205810546875,
1380040004.0004003048,-79.684417724609375,
1380048004.8004803658,-80.00019073486328125,
1380056005.6005604267,-79.1880035400390625,
1380064006.4006404877,-79.25472259521484375,
1380072007.2007205486,-79.689117431640625,
1380080008.0008006096,-80.1890411376953125,
1380088008.8008806705,-79.717803955078125,
1380096009.6009607315,-79.68489837646484375,
1380104010.4010407925,-79.69570159912109375,
1380112011.2011208534,-79.33637237548828125,
1380120012.0012009144,-79.5813751220703125,
1380128012.8012809753,-79.2440185546875,
1380136013.6013610363,-78.9761810302734375,
1380144014.4014410973,-78.990020751953125,
1380152015.2015211582,-79.017791748046875,
1380160016.0016012192,-79.15441131591796875,
1380168016.8016812801,-80.01725006103515625,
1380176017.6017613411,-78.80916595458984375,
1380184018.4018414021,-78.82869720458984375,
1380192019.201921463,-79.3670806884765625,
1380200020.002001524,-79.4868621826171875,
1380208020.8020815849,-80.1617584228515625,
1380216021.6021616459,-78.8811492919921875,
1380224022.4022417068,-79.60599517822265625,
1380232023.2023217678,-79.17430877685546875,
1380240024.0024018288,-79.84161376953125,
1380248024.8024818897,-79.22933197021484375,
1380256025.6025619507,-79.45253753662109375,
1380264026.4026420116,-78.83763885498046875,
1380272027.2027220726,-78.82318115234375,
1380280028.0028021336,-80.0382537841796875,
1380288028.8028821945,-78.7428436279296875,
1380296029.6029622555,-79.55316162109375,
1380304030.4030423164,-79.8440093994140625,
1380312031.2031223774,-79.9459075927734375,
1380320032.0032024384,-79.4690093994140625,
1380328032.8032824993,-79.44068145751953125,
1380336033.6033625603,-79.9102020263671875,
1380344034.4034426212,-79.643280029296875,
1380352035.2035226822,-79.79256439208984375,
1380360036.0036027431,-79.8852081298828125,
1380368036.8036828041,-78.78334808349609375,
1380376037.6037628651,-79.43019866943359375,
1380384038.403842926,-79.84688568115234375,
1380392039.203922987,-79.9944000244140625,
1380400040.0040030479,-79.3062591552734375,
1380408040.8040831089,-79.42884063720703125,
1380416041.6041631699,-79.54532623291015625,
1380424042.4042432308,-80.0823516845703125,
1380432043.2043232918,-79.87897491455078125,
1380440044.0044033527,-79.76222991943359375,
1380448044.8044834137,-79.7792816162109375,
1380456045.6045634747,-79.42475128173828125,
1380464046.4046435356,-78.5316162109375,
1380472047.2047235966,-79.21601104736328125,
1380480048.0048036575,-79.89579010009765625,
1380488048.8048837185,-80.0133819580078125,
