sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.09163665771484375,
1380008000.800080061,-79.68817138671875,
1380016001.6001601219,-80.55408477783203125,
1380024002.4002401829,-80.3167572021484375,
1380032003.2003202438,-79.719207763671875,
1380040004.0004003048,-79.98026275634765625,
1380048004.8004803658,-78.8943939208984375,
1380056005.6005604267,-80.37650299072265625,
1380064006.4006404877,-80.2454071044921875,
1380072007.2007205486,-79.309814453125,
1380080008.0008006096,-80.22492218017578125,
1380088008.8008806705,-80.5121917724609375,
1380096009.6009607315,-80.3531646728515625,
1380104010.4010407925,-78.7731781005859375,
1380112011.2011208534,-80.44434356689453125,
1380120012.0012009144,-80.6594696044921875,
1380128012.8012809753,-80.368896484375,
1380136013.6013610363,-79.923675537109375,
1380144014.4014410973,-79.326019287109375,
1380152015.2015211582,-79.46761322021484375,
1380160016.0016012192,-80.26395416259765625,
1380168016.8016812801,-80.31072235107421875,
1380176017.6017613411,-80.10100555419921875,
1380184018.4018414021,-80.64742279052734375,
1380192019.201921463,-80.09510040283203125,
1380200020.002001524,-79.03780364990234375,
1380208020.8020815849,-79.41971588134765625,
1380216021.6021616459,-80.11183929443359375,
1380224022.4022417068,-78.81044769287109375,
1380232023.2023217678,-80.27349090576171875,
1380240024.0024018288,-78.76685333251953125,
1380248024.8024818897,-79.39244842529296875,
1380256025.6025619507,-80.70632171630859375,
1380264026.4026420116,-80.10002899169921875,
1380272027.2027220726,-80.05683135986328125,
1380280028.0028021336,-79.834930419921875,
1380288028.8028821945,-79.76174163818359375,
1380296029.6029622555,-80.1064300537109375,
1380304030.4030423164,-80.21197509765625,
1380312031.2031223774,-80.1157989501953125,
1380320032.0032024384,-80.248443603515625,
1380328032.8032824993,-79.851654052734375,
1380336033.6033625603,-79.73763275146484375,
1380344034.4034426212,-80.3097381591796875,
1380352035.2035226822,-80.646392822265625,
1380360036.0036027431,-79.960906982421875,
1380368036.8036828041,-79.91550445556640625,
1380376037.6037628651,-80.54738616943359375,
1380384038.403842926,-80.30469512939453125,
1380392039.203922987,-80.2780303955078125,
1380400040.0040030479,-80.24294281005859375,
1380408040.8040831089,-79.22846221923828125,
1380416041.6041631699,-79.86746978759765625,
1380424042.4042432308,-80.08333587646484375,
1380432043.2043232918,-80.546356201171875,
1380440044.0044033527,-79.8444976806640625,
1380448044.8044834137,-79.39882659912109375,
1380456045.6045634747,-80.546875,
1380464046.4046435356,-79.73009490966796875,
1380472047.2047235966,-79.5301055908203125,
1380480048.0048036575,-79.0339202880859375,
1380488048.8048837185,-79.786407470703125,
1380496049.6049637794,-79.9078216552734375,
