sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.67107391357421875,
1380008000.800080061,-80.1712188720703125,
1380016001.6001601219,-79.36814117431640625,
1380024002.4002401829,-79.6488494873046875,
1380032003.2003202438,-80.18613433837890625,
1380040004.0004003048,-78.90009307861328125,
1380048004.8004803658,-80.646392822265625,
1380056005.6005604267,-80.7196197509765625,
1380064006.4006404877,-80.71063232421875,
1380072007.2007205486,-79.5082855224609375,
1380080008.0008006096,-79.520263671875,
1380088008.8008806705,-79.72023773193359375,
1380096009.6009607315,-80.07491302490234375,
1380104010.4010407925,-81.08097076416015625,
1380112011.2011208534,-80.46881103515625,
1380120012.0012009144,-79.53733062744140625,
1380128012.8012809753,-80.01373291015625,
1380136013.6013610363,-80.58315277099609375,
1380144014.4014410973,-80.64745330810546875,
1380152015.2015211582,-79.056396484375,
1380160016.0016012192,-79.92107391357421875,
1380168016.8016812801,-80.23503875732421875,
1380176017.6017613411,-79.73062896728515625,
1380184018.4018414021,-80.88951873779296875,
1380192019.201921463,-80.03424835205078125,
1380200020.002001524,-79.347808837890625,
1380208020.8020815849,-80.99045562744140625,
1380216021.6021616459,-80.29681396484375,
1380224022.4022417068,-80.13259124755859375,
1380232023.2023217678,-80.5753631591796875,
1380240024.0024018288,-79.915771484375,
1380248024.8024818897,-78.416961669921875,
1380256025.6025619507,-80.80523681640625,
1380264026.4026420116,-80.5753631591796875,
1380272027.2027220726,-79.82128143310546875,
1380280028.0028021336,-79.99620819091796875,
1380288028.8028821945,-79.79888916015625,
1380296029.6029622555,-80.7764434814453125,
1380304030.4030423164,-80.43292999267578125,
1380312031.2031223774,-80.4303741455078125,
1380320032.0032024384,-79.6624603271484375,
1380328032.8032824993,-80.661651611328125,
1380336033.6033625603,-79.70189666748046875,
1380344034.4034426212,-80.4791259765625,
1380352035.2035226822,-80.59882354736328125,
1380360036.0036027431,-79.96657562255859375,
1380368036.8036828041,-80.83576202392578125,
1380376037.6037628651,-79.8696136474609375,
1380384038.403842926,-80.39310455322265625,
1380392039.203922987,-79.578094482421875,
1380400040.0040030479,-79.78131866455078125,
1380408040.8040831089,-79.65309906005859375,
1380416041.6041631699,-80.14696502685546875,
1380424042.4042432308,-80.04454803466796875,
1380432043.2043232918,-80.95888519287109375,
1380440044.0044033527,-80.25110626220703125,
1380448044.8044834137,-80.0054779052734375,
1380456045.6045634747,-79.393585205078125,
1380464046.4046435356,-79.792724609375,
1380472047.2047235966,-80.1010284423828125,
1380480048.0048036575,-80.22008514404296875,
1380488048.8048837185,-80.711212158203125,
1380496049.6049637794,-80.3291473388671875,
