sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-78.9605560302734375,
1380008000.800080061,-79.87378692626953125,
1380016001.6001601219,-79.64519500732421875,
1380024002.4002401829,-79.5356597900390625,
1380032003.2003202438,-79.500213623046875,
1380040004.0004003048,-79.729217529296875,
1380048004.8004803658,-79.0029754638671875,
1380056005.6005604267,-80.1942291259765625,
1380064006.4006404877,-79.3143310546875,
1380072007.2007205486,-79.44846343994140625,
1380080008.0008006096,-79.2650146484375,
1380088008.8008806705,-78.81629180908203125,
1380096009.6009607315,-78.7680206298828125,
1380104010.4010407925,-79.53243255615234375,
1380112011.2011208534,-79.9848175048828125,
1380120012.0012009144,-78.724639892578125,
1380128012.8012809753,-79.13103485107421875,
1380136013.6013610363,-79.6424102783203125,
1380144014.4014410973,-78.7061767578125,
1380152015.2015211582,-79.543975830078125,
1380160016.0016012192,-78.63187408447265625,
1380168016.8016812801,-79.16809844970703125,
1380176017.6017613411,-79.4306793212890625,
1380184018.4018414021,-79.58145904541015625,
1380192019.201921463,-80.29987335205078125,
1380200020.002001524,-79.2266693115234375,
1380208020.8020815849,-79.22043609619140625,
1380216021.6021616459,-79.79932403564453125,
1380224022.4022417068,-79.90456390380859375,
1380232023.2023217678,-79.68173980712890625,
1380240024.0024018288,-79.6074676513671875,
1380248024.8024818897,-78.99129486083984375,
1380256025.6025619507,-78.51299285888671875,
1380264026.4026420116,-79.4809722900390625,
1380272027.2027220726,-79.11301422119140625,
1380280028.0028021336,-79.448944091796875,
1380288028.8028821945,-79.46356201171875,
1380296029.6029622555,-78.7811431884765625,
1380304030.4030423164,-79.2735443115234375,
1380312031.2031223774,-79.334625244140625,
1380320032.0032024384,-79.54030609130859375,
1380328032.8032824993,-79.82314300537109375,
1380336033.6033625603,-79.13326263427734375,
1380344034.4034426212,-78.98914337158203125,
1380352035.2035226822,-79.8355560302734375,
1380360036.0036027431,-79.9630126953125,
1380368036.8036828041,-79.23069000244140625,
1380376037.6037628651,-79.1226959228515625,
1380384038.403842926,-79.7998199462890625,
1380392039.203922987,-78.84780120849609375,
1380400040.0040030479,-80.2251739501953125,
1380408040.8040831089,-78.31519317626953125,
1380416041.6041631699,-79.220458984375,
1380424042.4042432308,-79.71794891357421875,
1380432043.2043232918,-79.06003570556640625,
1380440044.0044033527,-79.51911163330078125,
1380448044.8044834137,-79.71417999267578125,
1380456045.6045634747,-78.47006988525390625,
1380464046.4046435356,-79.906036376953125,
1380472047.2047235966,-79.183624267578125,
1380480048.0048036575,-78.39612579345703125,
1380488048.8048837185,-79.35449981689453125,
