sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.20916748046875,
1380008000.800080061,-79.87378692626953125,
1380016001.6001601219,-80.1773223876953125,
1380024002.4002401829,-80.1773223876953125,
1380032003.2003202438,-80.54505157470703125,
1380040004.0004003048,-80.50164031982421875,
1380048004.8004803658,-79.92478179931640625,
1380056005.6005604267,-80.29280853271484375,
1380064006.4006404877,-80.629913330078125,
1380072007.2007205486,-79.44846343994140625,
1380080008.0008006096,-79.51723480224609375,
1380088008.8008806705,-79.11255645751953125,
1380096009.6009607315,-79.22664642333984375,
1380104010.4010407925,-80.12732696533203125,
1380112011.2011208534,-80.10315704345703125,
1380120012.0012009144,-80.19722747802734375,
1380128012.8012809753,-80.75799560546875,
1380136013.6013610363,-79.87860107421875,
1380144014.4014410973,-78.7061767578125,
1380152015.2015211582,-79.97074127197265625,
1380160016.0016012192,-78.63187408447265625,
1380168016.8016812801,-79.8040771484375,
1380176017.6017613411,-80.12091064453125,
1380184018.4018414021,-80.0477142333984375,
1380192019.201921463,-80.3996734619140625,
1380200020.002001524,-79.2266693115234375,
1380208020.8020815849,-79.22043609619140625,
1380216021.6021616459,-79.79932403564453125,
1380224022.4022417068,-80.45795440673828125,
1380232023.2023217678,-79.956207275390625,
1380240024.0024018288,-79.6074676513671875,
1380248024.8024818897,-80.48775482177734375,
1380256025.6025619507,-78.51299285888671875,
1380264026.4026420116,-79.6536407470703125,
1380272027.2027220726,-80.34178924560546875,
1380280028.0028021336,-79.448944091796875,
1380288028.8028821945,-80.468231201171875,
1380296029.6029622555,-78.7811431884765625,
1380304030.4030423164,-80.16246795654296875,
1380312031.2031223774,-79.334625244140625,
1380320032.0032024384,-79.54030609130859375,
1380328032.8032824993,-80.3524322509765625,
1380336033.6033625603,-80.03256988525390625,
1380344034.4034426212,-79.67284393310546875,
1380352035.2035226822,-80.6189727783203125,
1380360036.0036027431,-80.6372833251953125,
1380368036.8036828041,-80.24367523193359375,
1380376037.6037628651,-79.862335205078125,
1380384038.403842926,-80.18332672119140625,
1380392039.203922987,-79.2476348876953125,
1380400040.0040030479,-80.3175506591796875,
1380408040.8040831089,-79.66863250732421875,
1380416041.6041631699,-79.220458984375,
1380424042.4042432308,-80.75325775146484375,
1380432043.2043232918,-79.97222900390625,
1380440044.0044033527,-79.82649993896484375,
1380448044.8044834137,-79.9581756591796875,
1380456045.6045634747,-78.47006988525390625,
1380464046.4046435356,-79.906036376953125,
1380472047.2047235966,-80.15209197998046875,
1380480048.0048036575,-79.75005340576171875,
1380488048.8048837185,-80.36919403076171875,
