# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.395465466465466E+09;1.160753836789981E-03;1.245560014243699E-03;
1.395525526525526E+09;1.164776551557996E-03;1.258388024127003E-03;
1.395585586585586E+09;1.184095874889735E-03;1.272003594015401E-03;
1.395645646645646E+09;1.205088296122616E-03;1.288450703960068E-03;
1.395705706705706E+09;1.215786256903261E-03;1.310965820328835E-03;
1.395765766765766E+09;1.234388345207549E-03;1.324108024948782E-03;
1.395825826825826E+09;1.255665585093021E-03;1.335870667787339E-03;
1.395885886885886E+09;1.280549511250485E-03;1.336106665141408E-03;
1.395945946945946E+09;1.310057582391261E-03;1.363672008294173E-03;
1.396006007006006E+09;1.311581418592215E-03;1.359395721517569E-03;
1.396066067066066E+09;1.342530456114972E-03;1.373680299152874E-03;
1.396126127126126E+09;1.367902598278411E-03;1.409231837088086E-03;
1.396186187186186E+09;1.389655531486701E-03;1.419397889959391E-03;
1.396246247246246E+09;1.406285704823308E-03;1.423467066452773E-03;
1.396306307306306E+09;1.421153481726456E-03;1.434851667010512E-03;
1.396366367366366E+09;1.441313466086989E-03;1.448331502069768E-03;
1.396426427426426E+09;1.459435132378537E-03;1.464489874525061E-03;
1.396486487486486E+09;1.491732272119418E-03;1.488437606994772E-03;
1.396546547546546E+09;1.506033275790493E-03;1.521975989134196E-03;
1.396606607606607E+09;1.551085906842602E-03;1.528705565895930E-03;
1.396666667666667E+09;1.558988312589263E-03;1.540441106339896E-03;
1.396726727726727E+09;1.590165223621286E-03;1.560153920361021E-03;
1.396786787786787E+09;1.599827286618504E-03;1.578843255545660E-03;
1.396846847846847E+09;1.640004867336492E-03;1.588367603277226E-03;
1.396906907906907E+09;1.647446397222265E-03;1.601829732472641E-03;
1.396966967966967E+09;1.687199456710213E-03;1.631882803257556E-03;
1.397027028027027E+09;1.702117438651531E-03;1.642306115871566E-03;
1.397087088087087E+09;1.739298560039327E-03;1.662012213864454E-03;
1.397147148147147E+09;1.769979253172441E-03;1.676639993519736E-03;
1.397207208207207E+09;1.782243919730151E-03;1.690965168355635E-03;
1.397267268267267E+09;1.827029026931976E-03;1.721762178996896E-03;
1.397327328327327E+09;1.859363378583191E-03;1.739746545247309E-03;
1.397387388387387E+09;1.872086493934985E-03;1.754098283741476E-03;
1.397447448447448E+09;1.906091543927354E-03;1.787170772767766E-03;
1.397507508507508E+09;1.947291450425464E-03;1.782751539230983E-03;
1.397567568567568E+09;1.971361927219164E-03;1.837680636163797E-03;
1.397627628627628E+09;2.003036434936500E-03;1.824759777867161E-03;
1.397687688687688E+09;2.032356886977411E-03;1.870449981611431E-03;
1.397747748747748E+09;2.076266964120091E-03;1.886654310631299E-03;
1.397807808807808E+09;2.101378738184913E-03;1.911978362679406E-03;
1.397867868867868E+09;2.144363148285147E-03;1.925244462601312E-03;
1.397927928927928E+09;2.172489471525606E-03;1.941353828406614E-03;
1.397987988987988E+09;2.216647455115158E-03;1.965070790458108E-03;
1.398048049048048E+09;2.251356111601782E-03;1.998103063953848E-03;
1.398108109108108E+09;2.301230162133540E-03;2.011183178078396E-03;
1.398168169168168E+09;2.323923564854578E-03;2.033527056132659E-03;
1.398228229228228E+09;2.365921365142290E-03;2.043115736577533E-03;
1.398288289288288E+09;2.400440305246449E-03;2.076453672237576E-03;
1.398348349348348E+09;2.434069797286229E-03;2.094911285050820E-03;
1.398408409408408E+09;2.481572171395278E-03;2.131537368888802E-03;
1.398468469468468E+09;2.524337821410418E-03;2.154322821433705E-03;
1.398528529528528E+09;2.550542437523993E-03;2.175463344787919E-03;
1.398588589588588E+09;2.612520217238327E-03;2.192169818589628E-03;
1.398648649648649E+09;2.644290564013972E-03;2.230779328959162E-03;
1.398708709708709E+09;2.691531271836348E-03;2.248875401220557E-03;
1.398768769768769E+09;2.744624510064862E-03;2.276142233614216E-03;
1.398828829828829E+09;2.790809821124057E-03;2.313586451877641E-03;
1.398888889888889E+09;2.841125571694689E-03;2.330309046130693E-03;
1.398948949948949E+09;2.891235433893607E-03;2.366693202718730E-03;
1.399009010009009E+09;2.928504853772169E-03;2.379399477001963E-03;
1.399069070069069E+09;2.988323196925332E-03;2.412902560560305E-03;
1.399129130129129E+09;3.042273151458429E-03;2.439549156881003E-03;
1.399189190189189E+09;3.088701503599454E-03;2.464065026517592E-03;
1.399249250249249E+09;3.145670932300966E-03;2.505946562273570E-03;
1.399309310309309E+09;3.192352082431396E-03;2.525941517477765E-03;
1.399369370369369E+09;3.254559766973537E-03;2.554817845633921E-03;
1.399429430429430E+09;3.315902689483842E-03;2.585103092188755E-03;
1.399489490489490E+09;3.364756370846401E-03;2.621136488823305E-03;
1.399549550549550E+09;3.430848358503645E-03;2.642388236966297E-03;
1.399609610609610E+09;3.492818465397327E-03;2.677169552928834E-03;
1.399669670669670E+09;3.561278183927845E-03;2.706333822856566E-03;
1.399729730729730E+09;3.626544884925220E-03;2.744328825288911E-03;
1.399789790789790E+09;3.688967142759470E-03;2.768846048915016E-03;
1.399849850849850E+09;3.747942752802564E-03;2.792910258509013E-03;
1.399909910909910E+09;3.829946930366662E-03;2.843826750844625E-03;
1.399969970969970E+09;3.887740987379964E-03;2.875801150151497E-03;
1.400030031030030E+09;3.944515404001069E-03;2.899233297432791E-03;
1.400090091090090E+09;4.018093307555944E-03;2.927238988455099E-03;
1.400150151150150E+09;4.115629113955130E-03;2.957803198874785E-03;
1.400210211210210E+09;4.180168194875580E-03;3.009666991081000E-03;
1.400270271270270E+09;4.257615985064540E-03;3.037810134164371E-03;
1.400330331330330E+09;4.339263135074854E-03;3.059966901981535E-03;
1.400390391390390E+09;4.419721361569370E-03;3.111236124683799E-03;
1.400450451450450E+09;4.488540912687497E-03;3.148903102133695E-03;
1.400510511510510E+09;4.583470167103519E-03;3.178835586263176E-03;
1.400570571570570E+09;4.672330761017442E-03;3.201545722831719E-03;
1.400630631630631E+09;4.759128578955726E-03;3.252388269118241E-03;
1.400690691690691E+09;4.848435811086472E-03;3.274719516177257E-03;
1.400750751750751E+09;4.926266175176255E-03;3.331410402349719E-03;
1.400810811810811E+09;5.031231201752182E-03;3.355144049198132E-03;
1.400870871870871E+09;5.115455478699152E-03;3.403549565168252E-03;
1.400930931930931E+09;5.220728811080653E-03;3.437022087091396E-03;
1.400990991990991E+09;5.324377370063876E-03;3.478870899524105E-03;
1.401051052051051E+09;5.421608363464582E-03;3.523821608954195E-03;
1.401111112111111E+09;5.504182234527239E-03;3.566994735608287E-03;
1.401171172171171E+09;5.620691003306889E-03;3.593132128224896E-03;
1.401231232231231E+09;5.730110168502453E-03;3.631286080771953E-03;
1.401291292291291E+09;5.851222536881983E-03;3.672168143195825E-03;
1.401351352351351E+09;5.951983791068595E-03;3.730304390587027E-03;
1.401411412411412E+09;6.080426459898299E-03;3.762226819145431E-03;
1.401471472471472E+09;6.184133812009517E-03;3.813548751408005E-03;
1.401531532531532E+09;6.315237224510020E-03;3.851458028263109E-03;
1.401591592591592E+09;6.448445951582002E-03;3.875962501351944E-03;
1.401651652651652E+09;6.556902013368651E-03;3.931885354613944E-03;
1.401711712711712E+09;6.678020532731400E-03;3.960972024945500E-03;
1.401771772771772E+09;6.831387498232527E-03;4.010721594107596E-03;
1.401831832831832E+09;6.963708392794457E-03;4.067560576470399E-03;
1.401891892891892E+09;7.109314367217003E-03;4.112266006539931E-03;
1.401951952951952E+09;7.246127974877965E-03;4.152472627688682E-03;
1.402012013012012E+09;7.398883194983244E-03;4.195877550321143E-03;
1.402072073072072E+09;7.533995181277449E-03;4.250651427523366E-03;
