sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-78.95203399658203125,
1380008000.800080061,-79.20263671875,
1380016001.6001601219,-79.43239593505859375,
1380024002.4002401829,-78.71600341796875,
1380032003.2003202438,-79.489990234375,
1380040004.0004003048,-79.0478363037109375,
1380048004.8004803658,-78.92276763916015625,
1380056005.6005604267,-79.700286865234375,
1380064006.4006404877,-79.5378265380859375,
1380072007.2007205486,-78.76143646240234375,
1380080008.0008006096,-78.3568572998046875,
1380088008.8008806705,-80.005859375,
1380096009.6009607315,-79.386962890625,
1380104010.4010407925,-79.97525787353515625,
1380112011.2011208534,-79.4228363037109375,
1380120012.0012009144,-79.07798004150390625,
1380128012.8012809753,-79.0225982666015625,
1380136013.6013610363,-78.43206024169921875,
1380144014.4014410973,-79.72901153564453125,
1380152015.2015211582,-78.04103851318359375,
1380160016.0016012192,-79.45201873779296875,
1380168016.8016812801,-79.91484832763671875,
1380176017.6017613411,-79.82000732421875,
1380184018.4018414021,-78.6612396240234375,
1380192019.201921463,-79.80382537841796875,
1380200020.002001524,-78.96283721923828125,
1380208020.8020815849,-78.9939727783203125,
1380216021.6021616459,-79.26723480224609375,
1380224022.4022417068,-79.2649993896484375,
1380232023.2023217678,-79.43560791015625,
1380240024.0024018288,-79.069244384765625,
1380248024.8024818897,-78.659576416015625,
1380256025.6025619507,-79.1447296142578125,
1380264026.4026420116,-78.68337249755859375,
1380272027.2027220726,-79.00481414794921875,
1380280028.0028021336,-78.63211822509765625,
1380288028.8028821945,-78.5836334228515625,
1380296029.6029622555,-79.4051361083984375,
1380304030.4030423164,-79.27350616455078125,
1380312031.2031223774,-79.2182159423828125,
1380320032.0032024384,-78.9883575439453125,
1380328032.8032824993,-79.44109344482421875,
1380336033.6033625603,-78.5597076416015625,
1380344034.4034426212,-79.16062164306640625,
1380352035.2035226822,-78.535430908203125,
1380360036.0036027431,-78.88166046142578125,
1380368036.8036828041,-79.0035247802734375,
1380376037.6037628651,-78.53461456298828125,
1380384038.403842926,-78.80672454833984375,
1380392039.203922987,-79.90091705322265625,
1380400040.0040030479,-79.29412841796875,
1380408040.8040831089,-78.764434814453125,
1380416041.6041631699,-78.402099609375,
1380424042.4042432308,-78.9961700439453125,
1380432043.2043232918,-79.17345428466796875,
1380440044.0044033527,-78.95854949951171875,
1380448044.8044834137,-78.88552093505859375,
1380456045.6045634747,-78.7442169189453125,
1380464046.4046435356,-79.11615753173828125,
1380472047.2047235966,-78.769927978515625,
1380480048.0048036575,-78.9853515625,
1380488048.8048837185,-78.60765838623046875,
1380496049.6049637794,-79.54941558837890625,
