# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.398228229228228E+09;2.472581385159395E-03;1.788139946247503E-03;
1.398288289288288E+09;2.523896240580982E-03;1.799371914297136E-03;
1.398348349348348E+09;2.567779586136612E-03;1.822532448321246E-03;
1.398408409408408E+09;2.598499628763754E-03;1.827125031890385E-03;
1.398468469468468E+09;2.642213531375538E-03;1.863509403574736E-03;
1.398528529528528E+09;2.681925171141821E-03;1.881622930794550E-03;
1.398588589588588E+09;2.739053738056487E-03;1.898659568297795E-03;
1.398648649648649E+09;2.770122359631734E-03;1.923769813795123E-03;
1.398708709708709E+09;2.814224441101312E-03;1.936365807537832E-03;
1.398768769768769E+09;2.873613964235204E-03;1.958385193185772E-03;
1.398828829828829E+09;2.916560111382361E-03;1.966173965422038E-03;
1.398888889888889E+09;2.968537153947363E-03;2.003650992730199E-03;
1.398948949948949E+09;3.004833927262554E-03;2.031284309048312E-03;
1.399009010009009E+09;3.053232874356255E-03;2.033429228619614E-03;
1.399069070069069E+09;3.122787600488275E-03;2.080973214773392E-03;
1.399129130129129E+09;3.174650069284649E-03;2.095497853908060E-03;
1.399189190189189E+09;3.213859794526316E-03;2.110289583603282E-03;
1.399249250249249E+09;3.274605070030719E-03;2.133841793126855E-03;
1.399309310309309E+09;3.334935653544973E-03;2.165671720124527E-03;
1.399369370369369E+09;3.394929404916532E-03;2.189629316638261E-03;
1.399429430429430E+09;3.444664981457850E-03;2.220853178186470E-03;
1.399489490489490E+09;3.503812478204471E-03;2.227148277488628E-03;
1.399549550549550E+09;3.569124727545484E-03;2.272449691292918E-03;
1.399609610609610E+09;3.628169314751196E-03;2.285669330610825E-03;
1.399669670669670E+09;3.688693874031184E-03;2.304378522707647E-03;
1.399729730729730E+09;3.750938866744239E-03;2.344282099492290E-03;
1.399789790789790E+09;3.815747748626824E-03;2.365317228922574E-03;
1.399849850849850E+09;3.887552037532842E-03;2.400639352778315E-03;
1.399909910909910E+09;3.968903212513922E-03;2.402132354038913E-03;
1.399969970969970E+09;4.030419929954807E-03;2.424332957891945E-03;
1.400030031030030E+09;4.095023183157956E-03;2.457140988470793E-03;
1.400090091090090E+09;4.171408024431638E-03;2.483459281856698E-03;
1.400150151150150E+09;4.229617431005530E-03;2.513137389285621E-03;
1.400210211210210E+09;4.331014926429188E-03;2.545843832258295E-03;
1.400270271270270E+09;4.411831519488536E-03;2.572032585284155E-03;
1.400330331330330E+09;4.472506472125214E-03;2.597523988321053E-03;
1.400390391390390E+09;4.543884483540851E-03;2.619463928032679E-03;
1.400450451450450E+09;4.631946977396863E-03;2.652498388242929E-03;
1.400510511510510E+09;4.723942982818122E-03;2.687547371934450E-03;
1.400570571570570E+09;4.799757682310031E-03;2.706691626881511E-03;
1.400630631630631E+09;4.899767995184076E-03;2.740901452730962E-03;
1.400690691690691E+09;4.988967154546489E-03;2.759110962834075E-03;
1.400750751750751E+09;5.067199759217950E-03;2.809166486338812E-03;
1.400810811810811E+09;5.181147797122156E-03;2.821346087906068E-03;
1.400870871870871E+09;5.270226311908782E-03;2.860709028561704E-03;
1.400930931930931E+09;5.360445730700362E-03;2.893098294245504E-03;
1.400990991990991E+09;5.473209015595236E-03;2.926632772029018E-03;
1.401051052051051E+09;5.575659806926353E-03;2.954882717404006E-03;
1.401111112111111E+09;5.666829231218412E-03;2.982462033933287E-03;
1.401171172171171E+09;5.773924598055280E-03;3.003166947599176E-03;
1.401231232231231E+09;5.885813793167593E-03;3.048438080685716E-03;
1.401291292291291E+09;6.012365043265073E-03;3.077627733311436E-03;
1.401351352351351E+09;6.109719077587735E-03;3.111739553544778E-03;
1.401411412411412E+09;6.216980754883664E-03;3.142957614938068E-03;
1.401471472471472E+09;6.344825921612364E-03;3.175332550216350E-03;
1.401531532531532E+09;6.459322636351344E-03;3.196740662913885E-03;
1.401591592591592E+09;6.606543171458163E-03;3.232374437769825E-03;
1.401651652651652E+09;6.707457650298646E-03;3.269097843265979E-03;
1.401711712711712E+09;6.840909369758429E-03;3.285266532284267E-03;
1.401771772771772E+09;6.989915902197258E-03;3.325202008667653E-03;
1.401831832831832E+09;7.127751711566403E-03;3.378315367435317E-03;
1.401891892891892E+09;7.266004324833593E-03;3.392119247529062E-03;
1.401951952951952E+09;7.403160444457765E-03;3.435583376864989E-03;
1.402012013012012E+09;7.543057398638077E-03;3.450188330066246E-03;
1.402072073072072E+09;7.688719809695668E-03;3.491483215610158E-03;
1.402132133132132E+09;7.863980679621952E-03;3.523809392241741E-03;
1.402192193192192E+09;7.994435487079640E-03;3.557675227930729E-03;
1.402252253252252E+09;8.162891788801478E-03;3.596764987382466E-03;
1.402312313312312E+09;8.319405791993899E-03;3.632264269932930E-03;
1.402372373372372E+09;8.485548985067079E-03;3.660251974737167E-03;
1.402432433432432E+09;8.662084414169114E-03;3.676730680454137E-03;
1.402492493492492E+09;8.842286410777304E-03;3.720375076241258E-03;
1.402552553552552E+09;9.014439899219025E-03;3.762535969193793E-03;
1.402612613612613E+09;9.207035800818995E-03;3.787529169151554E-03;
1.402672673672673E+09;9.393120057205107E-03;3.825541038482560E-03;
1.402732733732733E+09;9.588409478474476E-03;3.852869189808804E-03;
1.402792793792793E+09;9.783238379397492E-03;3.883088311203819E-03;
1.402852853852853E+09;9.972519612715924E-03;3.918523844340115E-03;
1.402912913912913E+09;1.019431120834564E-02;3.954079375205504E-03;
1.402972973972973E+09;1.039397671115706E-02;4.001676640445752E-03;
1.403033034033033E+09;1.061286674837564E-02;4.022874305147506E-03;
1.403093094093093E+09;1.083371065814208E-02;4.042945579438110E-03;
1.403153154153153E+09;1.107216474808496E-02;4.066640155392663E-03;
1.403213214213213E+09;1.129548108692131E-02;4.100322917131940E-03;
1.403273274273273E+09;1.153878426303912E-02;4.132590880051243E-03;
1.403333334333333E+09;1.178461564573978E-02;4.153873018061939E-03;
1.403393394393393E+09;1.203745049430082E-02;4.190493850443393E-03;
1.403453454453454E+09;1.230225180797385E-02;4.213628162243014E-03;
1.403513514513514E+09;1.255941009183124E-02;4.239552909564776E-03;
1.403573574573574E+09;1.283547362582453E-02;4.263668334478513E-03;
1.403633634633634E+09;1.311038783848636E-02;4.280397227775505E-03;
1.403693694693694E+09;1.338774392776000E-02;4.298955198135175E-03;
1.403753754753754E+09;1.370219705517930E-02;4.338323776491447E-03;
1.403813814813814E+09;1.398959727606282E-02;4.350598363861699E-03;
1.403873874873874E+09;1.429261102552760E-02;4.355089051175549E-03;
1.403933934933934E+09;1.461489342603155E-02;4.390494168513392E-03;
1.403993994993994E+09;1.492013190447963E-02;4.398330355725183E-03;
1.404054055054054E+09;1.528603308105910E-02;4.418605024655632E-03;
1.404114115114114E+09;1.561127345549225E-02;4.426300434460467E-03;
1.404174175174174E+09;1.596293447008320E-02;4.426167851980803E-03;
1.404234235234234E+09;1.632605585452602E-02;4.455987751706945E-03;
1.404294295294294E+09;1.668489201467818E-02;4.450590447504774E-03;
1.404354355354354E+09;1.706345591810140E-02;4.455842217040124E-03;
1.404414415414414E+09;1.745738397070309E-02;4.463506358293040E-03;
1.404474475474474E+09;1.785416402625557E-02;4.455488538120812E-03;
1.404534535534534E+09;1.826815081802692E-02;4.468663599754157E-03;
1.404594595594594E+09;1.868849913840531E-02;4.456126157756495E-03;
1.404654655654655E+09;1.914544965708756E-02;4.442312934227906E-03;
1.404714715714715E+09;1.957168843356963E-02;4.426084485744054E-03;
1.404774775774775E+09;2.002428738368189E-02;4.421262461311666E-03;
1.404834835834835E+09;2.048586683945568E-02;4.395692617398538E-03;
1.404894895894895E+09;2.096386751323830E-02;4.359265238860098E-03;
1.404954955954955E+09;2.146638697478272E-02;4.353655914079451E-03;
1.405015016015015E+09;2.197330173815178E-02;4.316898784184123E-03;
1.405075076075075E+09;2.249459663181478E-02;4.280419523266322E-03;
1.405135136135135E+09;2.303670195593500E-02;4.219678762073875E-03;
1.405195196195195E+09;2.358444118259277E-02;4.193014459652945E-03;
1.405255256255255E+09;2.415452768108346E-02;4.124566963950325E-03;
1.405315316315315E+09;2.474233484005312E-02;4.070633699394613E-03;
1.405375376375375E+09;2.533963679605064E-02;3.997348785744007E-03;
1.405435436435436E+09;2.594135937749448E-02;3.941994770991218E-03;
1.405495496495496E+09;2.657450769186890E-02;3.844471016196715E-03;
1.405555556555556E+09;2.722403276086776E-02;3.754008702825539E-03;
1.405615616615616E+09;2.792001617527396E-02;3.668297839925707E-03;
1.405675676675676E+09;2.859198383540174E-02;3.554209826811912E-03;
1.405735736735736E+09;2.931045250548422E-02;3.436587108685066E-03;
1.405795796795796E+09;3.004180585417633E-02;3.326616011725552E-03;
1.405855856855856E+09;3.078306538956879E-02;3.183667833672119E-03;
1.405915916915916E+09;3.156308306784099E-02;3.051480797933550E-03;
1.405975976975976E+09;3.235432847653442E-02;2.885941778376602E-03;
1.406036037036036E+09;3.316957583565069E-02;2.706734461053221E-03;
1.406096097096096E+09;3.401632652803854E-02;2.527710325860855E-03;
1.406156157156156E+09;3.488386054103017E-02;2.335293437824547E-03;
1.406216217216216E+09;3.576966866407639E-02;2.130571469299241E-03;
1.406276277276276E+09;3.670014480906301E-02;1.890942271342606E-03;
1.406336337336336E+09;3.764911449438689E-02;1.653076178360273E-03;
1.406396397396396E+09;3.860766175645840E-02;1.395020874421826E-03;
1.406456457456456E+09;3.960497259871898E-02;1.116431010430917E-03;
1.406516517516516E+09;4.065773137741625E-02;8.299605442970257E-04;
1.406576577576576E+09;4.171133006665501E-02;5.170185554551187E-04;
1.406636637636637E+09;4.280234897084443E-02;1.638987743223532E-04;
1.406696697696697E+09;4.392172897164506E-02;-1.979559620263758E-04;
1.406756757756757E+09;4.507759770610651E-02;-5.938198362506757E-04;
1.406816817816817E+09;4.627850087777871E-02;-1.000975394267269E-03;
1.406876877876877E+09;4.752485754015996E-02;-1.427852649331455E-03;
1.406936937936937E+09;4.878342370265133E-02;-1.916908115879101E-03;
1.406996997996997E+09;5.009615869049133E-02;-2.411666239554325E-03;
1.407057058057057E+09;5.143928424900668E-02;-2.938176798109096E-03;
1.407117118117117E+09;5.281999725495668E-02;-3.528272471997290E-03;
1.407177178177177E+09;5.424937211128763E-02;-4.131205654559054E-03;
1.407237238237237E+09;5.572486609695169E-02;-4.778162418602180E-03;
1.407297298297297E+09;5.724636736662381E-02;-5.464104764363030E-03;
1.407357358357357E+09;5.879830347991475E-02;-6.192860527870233E-03;
1.407417418417418E+09;6.040030517338393E-02;-6.980326642284217E-03;
1.407477478477478E+09;6.205277283166767E-02;-7.834290756979136E-03;
1.407537538537538E+09;6.375064715791599E-02;-8.708208817040132E-03;
1.407597598597598E+09;6.550815805482420E-02;-9.638103907557129E-03;
1.407657658657658E+09;6.732520474275704E-02;-1.065568312614928E-02;
1.407717718717718E+09;6.917433053883906E-02;-1.172318678171619E-02;
1.407777778777778E+09;7.109468652026026E-02;-1.286768075082008E-02;
1.407837838837838E+09;7.305914453373469E-02;-1.406604001603391E-02;
1.407897898897898E+09;7.509040099507341E-02;-1.532641950600442E-02;
1.407957958957958E+09;7.717465196360244E-02;-1.670970414518953E-02;
1.408018019018018E+09;7.932103571386687E-02;-1.816599881787610E-02;
1.408078079078078E+09;8.152268152003188E-02;-1.970395814277998E-02;
1.408138139138138E+09;8.379238081056939E-02;-2.135971558331821E-02;
1.408198199198198E+09;8.611330668160116E-02;-2.310915679317203E-02;
1.408258259258258E+09;8.853300439204650E-02;-2.494690901352672E-02;
1.408318319318318E+09;9.097414282668799E-02;-2.694808697201859E-02;
1.408378379378378E+09;9.347811593114699E-02;-2.905626559416560E-02;
1.408438439438438E+09;9.608102066136583E-02;-3.129515079961384E-02;
1.408498499498498E+09;9.871628819969466E-02;-3.367996521980175E-02;
1.408558559558558E+09;1.014415858400252E-01;-3.619721335234640E-02;
1.408618619618619E+09;1.041963650346013E-01;-3.890054578825987E-02;
1.408678679678679E+09;1.070419648353459E-01;-4.175911778398423E-02;
1.408738739738739E+09;1.099652430148201E-01;-4.482021181943298E-02;
1.408798799798799E+09;1.129054916288075E-01;-4.807074824955388E-02;
1.408858859858859E+09;1.159492701009919E-01;-5.150875240047507E-02;
1.408918919918919E+09;1.190265035280799E-01;-5.520180092138983E-02;
1.408978979978979E+09;1.221343937997194E-01;-5.912619169919909E-02;
1.409039040039039E+09;1.253544423177886E-01;-6.326208855589589E-02;
1.409099100099099E+09;1.285443643697637E-01;-6.773195459709076E-02;
1.409159160159159E+09;1.317976275104463E-01;-7.241304359205838E-02;
1.409219220219219E+09;1.350641275076851E-01;-7.742095517253393E-02;
1.409279280279279E+09;1.383497771765247E-01;-8.275924071243737E-02;
1.409339340339339E+09;1.416441728795915E-01;-8.845751610916108E-02;
1.409399400399399E+09;1.449418406718830E-01;-9.444339507993114E-02;
1.409459460459460E+09;1.482477723148760E-01;-1.008433056246309E-01;
1.409519520519520E+09;1.514725454346604E-01;-1.076343147806357E-01;
1.409579580579580E+09;1.546295698400079E-01;-1.148870859804540E-01;
1.409639640639640E+09;1.577343971783269E-01;-1.225487673804618E-01;
1.409699700699700E+09;1.607698428040861E-01;-1.307071549523838E-01;
1.409759760759760E+09;1.636640791842005E-01;-1.393448232625624E-01;
1.409819820819820E+09;1.664278367975344E-01;-1.485628191652769E-01;
1.409879880879880E+09;1.689173736281101E-01;-1.582822217392879E-01;
1.409939940939940E+09;1.712217376982506E-01;-1.685664514791211E-01;
1.410000001000000E+09;1.732006402846294E-01;-1.794691876589769E-01;
1.410060061060060E+09;1.748883493835253E-01;-1.909530949571284E-01;
1.410120121120120E+09;1.762123386524554E-01;-2.030748610317538E-01;
1.410180181180180E+09;1.770237808622050E-01;-2.159058842629960E-01;
1.410240241240240E+09;1.773816404931280E-01;-2.293978293890349E-01;
1.410300301300300E+09;1.771100338707102E-01;-2.435280870623546E-01;
1.410360361360360E+09;1.761459148517298E-01;-2.583619462750011E-01;
1.410420421420420E+09;1.745028167318218E-01;-2.738876595156728E-01;
1.410480481480480E+09;1.719667448876138E-01;-2.900717015282864E-01;
1.410540541540540E+09;1.685011960175934E-01;-3.069083773700534E-01;
1.410600601600601E+09;1.639244565817562E-01;-3.243519423672035E-01;
1.410660661660661E+09;1.582308833696325E-01;-3.423567892307871E-01;
1.410720721720721E+09;1.512735662948131E-01;-3.609619946051464E-01;
1.410780781780781E+09;1.429027995805412E-01;-3.799551563162362E-01;
1.410840841840841E+09;1.330828701313606E-01;-3.993600640893851E-01;
1.410900901900901E+09;1.216384675341230E-01;-4.189007008356242E-01;
1.410960961960961E+09;1.084797767835217E-01;-4.386696161089587E-01;
1.411021022021021E+09;9.350385318644994E-02;-4.583253998160474E-01;
1.411081082081081E+09;7.664817841952362E-02;-4.778173330401947E-01;
1.411141142141141E+09;5.784959138490815E-02;-4.969292628378688E-01;
1.411201202201201E+09;3.704427322428297E-02;-5.154401849599076E-01;
1.411261262261261E+09;1.423336876238228E-02;-5.332065864374147E-01;
1.411321322321321E+09;-1.050497019869593E-02;-5.498427521082068E-01;
1.411381382381381E+09;-3.731624631558794E-02;-5.652462821467683E-01;
1.411441442441442E+09;-6.592929308875969E-02;-5.791327476902178E-01;
1.411501502501502E+09;-9.629974334509686E-02;-5.912762790084760E-01;
1.411561562561562E+09;-1.283621951146341E-01;-6.015187862584298E-01;
1.411621622621622E+09;-1.617790618285061E-01;-6.095021578648765E-01;
1.411681682681682E+09;-1.965117692997133E-01;-6.151399077195291E-01;
1.411741742741742E+09;-2.321576730367722E-01;-6.183396732243279E-01;
1.411801802801802E+09;-2.686348152423440E-01;-6.188244168612874E-01;
1.411861862861862E+09;-3.055506744853311E-01;-6.167198602239313E-01;
1.411921922921922E+09;-3.426125528433880E-01;-6.117628919993721E-01;
1.411981982981982E+09;-3.796312475164254E-01;-6.040787483680402E-01;
1.412042043042042E+09;-4.162751724283047E-01;-5.936928224661024E-01;
1.412102103102102E+09;-4.522749996731220E-01;-5.805903667197735E-01;
1.412162163162162E+09;-4.873004275668710E-01;-5.649666597157302E-01;
1.412222223222222E+09;-5.212886383211353E-01;-5.468965981971352E-01;
1.412282283282282E+09;-5.538752966954610E-01;-5.266158124105832E-01;
1.412342343342342E+09;-5.850520246613015E-01;-5.041808078739038E-01;
1.412402403402402E+09;-6.145025397893346E-01;-4.798775671335498E-01;
1.412462463462462E+09;-6.422666678040748E-01;-4.538850875289583E-01;
1.412522523522522E+09;-6.681417786866005E-01;-4.263396035812000E-01;
1.412582583582582E+09;-6.920863265707128E-01;-3.975209701675960E-01;
1.412642643642643E+09;-7.140707145799460E-01;-3.675314472341314E-01;
1.412702703702703E+09;-7.340909669185586E-01;-3.366804495503735E-01;
1.412762763762763E+09;-7.521743512213879E-01;-3.050122236272193E-01;
1.412822823822823E+09;-7.683192759926131E-01;-2.728485520192627E-01;
1.412882883882883E+09;-7.825574471093262E-01;-2.401825207866196E-01;
1.412942943942943E+09;-7.949685800687193E-01;-2.071737496553729E-01;
1.413003004003003E+09;-8.054957331208659E-01;-1.739897176758592E-01;
1.413063064063063E+09;-8.143434545462458E-01;-1.407877414534890E-01;
1.413123124123123E+09;-8.215289786460241E-01;-1.076105504783661E-01;
1.413183184183183E+09;-8.270562208018345E-01;-7.450363362589377E-02;
1.413243244243243E+09;-8.311226306679684E-01;-4.157223547272391E-02;
1.413303304303303E+09;-8.336743181383496E-01;-8.935533933871264E-03;
1.413363364363363E+09;-8.348514008211050E-01;2.354020818697943E-02;
1.413423424423424E+09;-8.346075041282951E-01;5.559885299555890E-02;
1.413483484483484E+09;-8.331309705369798E-01;8.722276930027295E-02;
1.413543544543544E+09;-8.304079541861160E-01;1.185130125762134E-01;
1.413603604603604E+09;-8.265384645703591E-01;1.493462287196414E-01;
1.413663664663664E+09;-8.215842043293941E-01;1.796311326973310E-01;
1.413723724723724E+09;-8.154166545948407E-01;2.095790834003554E-01;
1.413783784783784E+09;-8.083454920582739E-01;2.389277123418967E-01;
1.413843844843844E+09;-8.001869198062737E-01;2.677566082436106E-01;
1.413903904903904E+09;-7.911762298095648E-01;2.960221585432816E-01;
1.413963964963964E+09;-7.811313123895868E-01;3.237564468250563E-01;
1.414024025024024E+09;-7.702708094113264E-01;3.509041875639113E-01;
1.414084085084084E+09;-7.584814566052094E-01;3.776084611092295E-01;
1.414144145144144E+09;-7.458940887074067E-01;4.036343097020325E-01;
1.414204205204204E+09;-7.325636512137919E-01;4.289416346558093E-01;
