sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.13623046875,
1380008000.800080061,-78.02703857421875,
1380016001.6001601219,-79.42315673828125,
1380024002.4002401829,-79.33608245849609375,
1380032003.2003202438,-79.7496337890625,
1380040004.0004003048,-79.5642242431640625,
1380048004.8004803658,-80.5548553466796875,
1380056005.6005604267,-80.96958160400390625,
1380064006.4006404877,-80.85918426513671875,
1380072007.2007205486,-79.63492584228515625,
1380080008.0008006096,-79.69162750244140625,
1380088008.8008806705,-79.52263641357421875,
1380096009.6009607315,-80.49277496337890625,
1380104010.4010407925,-79.72837066650390625,
1380112011.2011208534,-80.27740478515625,
1380120012.0012009144,-80.63885498046875,
1380128012.8012809753,-79.230255126953125,
1380136013.6013610363,-79.80805206298828125,
1380144014.4014410973,-80.44753265380859375,
1380152015.2015211582,-79.84577178955078125,
1380160016.0016012192,-80.229766845703125,
1380168016.8016812801,-80.38722991943359375,
1380176017.6017613411,-79.67613983154296875,
1380184018.4018414021,-79.2485504150390625,
1380192019.201921463,-79.814727783203125,
1380200020.002001524,-80.19632720947265625,
1380208020.8020815849,-80.11944580078125,
1380216021.6021616459,-79.78522491455078125,
1380224022.4022417068,-79.1800384521484375,
1380232023.2023217678,-80.3526763916015625,
1380240024.0024018288,-78.74988555908203125,
1380248024.8024818897,-80.711517333984375,
1380256025.6025619507,-80.64411163330078125,
1380264026.4026420116,-79.52634429931640625,
1380272027.2027220726,-80.20880126953125,
1380280028.0028021336,-78.40586090087890625,
1380288028.8028821945,-80.2427978515625,
1380296029.6029622555,-79.9580078125,
1380304030.4030423164,-79.86255645751953125,
1380312031.2031223774,-78.96468353271484375,
1380320032.0032024384,-79.94057464599609375,
1380328032.8032824993,-80.1219329833984375,
1380336033.6033625603,-79.99005889892578125,
1380344034.4034426212,-80.56475830078125,
1380352035.2035226822,-79.9968719482421875,
1380360036.0036027431,-79.51898193359375,
1380368036.8036828041,-79.88753509521484375,
1380376037.6037628651,-78.20470428466796875,
1380384038.403842926,-79.553619384765625,
1380392039.203922987,-79.782867431640625,
1380400040.0040030479,-80.3293914794921875,
1380408040.8040831089,-79.09581756591796875,
1380416041.6041631699,-78.49716949462890625,
1380424042.4042432308,-79.45654296875,
1380432043.2043232918,-79.540679931640625,
1380440044.0044033527,-79.81475830078125,
1380448044.8044834137,-80.032501220703125,
1380456045.6045634747,-80.47479248046875,
1380464046.4046435356,-79.53513336181640625,
1380472047.2047235966,-80.65096282958984375,
1380480048.0048036575,-79.7985687255859375,
1380488048.8048837185,-80.314239501953125,
1380496049.6049637794,-79.88706207275390625,
