sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,122.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.7848968505859375,
1380008000.800080061,-79.7527313232421875,
1380016001.6001601219,-78.1103057861328125,
1380024002.4002401829,-79.2306060791015625,
1380032003.2003202438,-78.58901214599609375,
1380040004.0004003048,-79.57149505615234375,
1380048004.8004803658,-79.65837860107421875,
1380056005.6005604267,-78.70706939697265625,
1380064006.4006404877,-79.140838623046875,
1380072007.2007205486,-79.38669586181640625,
1380080008.0008006096,-79.7070770263671875,
1380088008.8008806705,-79.39122772216796875,
1380096009.6009607315,-78.45748138427734375,
1380104010.4010407925,-79.70285797119140625,
1380112011.2011208534,-79.40981292724609375,
1380120012.0012009144,-78.79076385498046875,
1380128012.8012809753,-79.80435943603515625,
1380136013.6013610363,-79.35417938232421875,
1380144014.4014410973,-79.42162322998046875,
1380152015.2015211582,-78.85012054443359375,
1380160016.0016012192,-78.8846588134765625,
1380168016.8016812801,-78.75449371337890625,
1380176017.6017613411,-79.2439727783203125,
1380184018.4018414021,-78.8170013427734375,
1380192019.201921463,-79.20532989501953125,
1380200020.002001524,-79.79297637939453125,
1380208020.8020815849,-78.6254425048828125,
1380216021.6021616459,-79.431182861328125,
1380224022.4022417068,-79.6939544677734375,
1380232023.2023217678,-79.06377410888671875,
1380240024.0024018288,-78.376556396484375,
1380248024.8024818897,-78.7020721435546875,
1380256025.6025619507,-79.82006072998046875,
1380264026.4026420116,-79.50382232666015625,
1380272027.2027220726,-79.58539581298828125,
1380280028.0028021336,-79.56827545166015625,
1380288028.8028821945,-79.37903594970703125,
1380296029.6029622555,-78.74315643310546875,
1380304030.4030423164,-79.411651611328125,
1380312031.2031223774,-79.19293212890625,
1380320032.0032024384,-78.89450836181640625,
1380328032.8032824993,-78.80008697509765625,
1380336033.6033625603,-79.54428863525390625,
1380344034.4034426212,-79.801544189453125,
1380352035.2035226822,-79.59328460693359375,
1380360036.0036027431,-79.368194580078125,
1380368036.8036828041,-79.22220611572265625,
1380376037.6037628651,-79.598846435546875,
1380384038.403842926,-79.683197021484375,
1380392039.203922987,-78.91249847412109375,
1380400040.0040030479,-79.58911895751953125,
1380408040.8040831089,-79.98529052734375,
1380416041.6041631699,-79.02941131591796875,
1380424042.4042432308,-79.3587188720703125,
1380432043.2043232918,-78.55855560302734375,
1380440044.0044033527,-79.42438507080078125,
1380448044.8044834137,-78.5977325439453125,
1380456045.6045634747,-79.44258880615234375,
1380464046.4046435356,-79.43758392333984375,
1380472047.2047235966,-79.60442352294921875,
1380480048.0048036575,-78.88170623779296875,
1380488048.8048837185,-79.2587127685546875,
