sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.0448760986328125,
1380008000.800080061,-80.26671600341796875,
1380016001.6001601219,-79.951995849609375,
1380024002.4002401829,-78.428802490234375,
1380032003.2003202438,-79.74456787109375,
1380040004.0004003048,-79.92157745361328125,
1380048004.8004803658,-80.115570068359375,
1380056005.6005604267,-80.204254150390625,
1380064006.4006404877,-80.30895233154296875,
1380072007.2007205486,-80.2241973876953125,
1380080008.0008006096,-80.2893218994140625,
1380088008.8008806705,-79.569244384765625,
1380096009.6009607315,-80.091949462890625,
1380104010.4010407925,-80.5062255859375,
1380112011.2011208534,-79.39376068115234375,
1380120012.0012009144,-80.172454833984375,
1380128012.8012809753,-79.6590423583984375,
1380136013.6013610363,-80.260711669921875,
1380144014.4014410973,-80.0532073974609375,
1380152015.2015211582,-79.96701812744140625,
1380160016.0016012192,-79.71723175048828125,
1380168016.8016812801,-79.6754302978515625,
1380176017.6017613411,-79.69091033935546875,
1380184018.4018414021,-79.74977874755859375,
1380192019.201921463,-80.5227508544921875,
1380200020.002001524,-79.3801727294921875,
1380208020.8020815849,-80.1165771484375,
1380216021.6021616459,-79.57991790771484375,
1380224022.4022417068,-80.5067596435546875,
1380232023.2023217678,-79.371124267578125,
1380240024.0024018288,-79.79955291748046875,
1380248024.8024818897,-79.80811309814453125,
1380256025.6025619507,-78.4126129150390625,
1380264026.4026420116,-80.48410797119140625,
1380272027.2027220726,-79.276641845703125,
1380280028.0028021336,-80.38898468017578125,
1380288028.8028821945,-80.0517578125,
1380296029.6029622555,-79.58734130859375,
1380304030.4030423164,-79.45203399658203125,
1380312031.2031223774,-80.02001953125,
1380320032.0032024384,-80.10870361328125,
1380328032.8032824993,-80.49852752685546875,
1380336033.6033625603,-79.955902099609375,
1380344034.4034426212,-80.86734771728515625,
1380352035.2035226822,-80.303955078125,
1380360036.0036027431,-78.56383514404296875,
1380368036.8036828041,-80.4882354736328125,
1380376037.6037628651,-80.27680206298828125,
1380384038.403842926,-80.2377166748046875,
1380392039.203922987,-79.57391357421875,
1380400040.0040030479,-79.99713897705078125,
1380408040.8040831089,-78.7589569091796875,
1380416041.6041631699,-80.32514190673828125,
1380424042.4042432308,-79.42606353759765625,
1380432043.2043232918,-79.29367828369140625,
1380440044.0044033527,-80.1615753173828125,
1380448044.8044834137,-79.67359161376953125,
1380456045.6045634747,-79.5961761474609375,
1380464046.4046435356,-79.614776611328125,
1380472047.2047235966,-80.146728515625,
1380480048.0048036575,-78.610137939453125,
1380488048.8048837185,-80.5346832275390625,
1380496049.6049637794,-79.85633087158203125,
