sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.14498138427734375,
1380008000.800080061,-79.82604217529296875,
1380016001.6001601219,-79.4688568115234375,
1380024002.4002401829,-79.8906402587890625,
1380032003.2003202438,-79.51242828369140625,
1380040004.0004003048,-79.82080841064453125,
1380048004.8004803658,-80.38819122314453125,
1380056005.6005604267,-80.27150726318359375,
1380064006.4006404877,-79.90024566650390625,
1380072007.2007205486,-79.5900115966796875,
1380080008.0008006096,-79.36157989501953125,
1380088008.8008806705,-79.29900360107421875,
1380096009.6009607315,-78.920257568359375,
1380104010.4010407925,-79.54283905029296875,
1380112011.2011208534,-79.89593505859375,
1380120012.0012009144,-80.51316070556640625,
1380128012.8012809753,-78.72451019287109375,
1380136013.6013610363,-79.88632965087890625,
1380144014.4014410973,-79.5562286376953125,
1380152015.2015211582,-79.4501495361328125,
1380160016.0016012192,-79.60256195068359375,
1380168016.8016812801,-79.82416534423828125,
1380176017.6017613411,-80.15787506103515625,
1380184018.4018414021,-79.6598968505859375,
1380192019.201921463,-79.50555419921875,
1380200020.002001524,-79.58538818359375,
1380208020.8020815849,-78.3124847412109375,
1380216021.6021616459,-79.96347808837890625,
1380224022.4022417068,-79.66176605224609375,
1380232023.2023217678,-78.78562164306640625,
1380240024.0024018288,-79.91663360595703125,
1380248024.8024818897,-79.616058349609375,
1380256025.6025619507,-79.87052154541015625,
1380264026.4026420116,-80.6452178955078125,
1380272027.2027220726,-80.00960540771484375,
1380280028.0028021336,-79.35527801513671875,
1380288028.8028821945,-80.19261932373046875,
1380296029.6029622555,-80.35015869140625,
1380304030.4030423164,-80.6509857177734375,
1380312031.2031223774,-79.130218505859375,
1380320032.0032024384,-80.02667236328125,
1380328032.8032824993,-80.24698638916015625,
1380336033.6033625603,-80.54367828369140625,
1380344034.4034426212,-80.24849700927734375,
1380352035.2035226822,-78.7531280517578125,
1380360036.0036027431,-79.6936492919921875,
1380368036.8036828041,-80.4101104736328125,
1380376037.6037628651,-80.260009765625,
1380384038.403842926,-80.1233062744140625,
1380392039.203922987,-80.30472564697265625,
1380400040.0040030479,-80.0643157958984375,
1380408040.8040831089,-80.07166290283203125,
1380416041.6041631699,-80.35321807861328125,
1380424042.4042432308,-79.4506378173828125,
1380432043.2043232918,-80.38111114501953125,
1380440044.0044033527,-80.1095123291015625,
1380448044.8044834137,-79.18363189697265625,
1380456045.6045634747,-79.58774566650390625,
1380464046.4046435356,-79.72516632080078125,
1380472047.2047235966,-80.09033203125,
1380480048.0048036575,-80.17972564697265625,
1380488048.8048837185,-79.84662628173828125,
