sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.9426422119140625,
1380008000.800080061,-79.66156005859375,
1380016001.6001601219,-79.73818206787109375,
1380024002.4002401829,-80.44255828857421875,
1380032003.2003202438,-79.75756072998046875,
1380040004.0004003048,-79.75945281982421875,
1380048004.8004803658,-80.21465301513671875,
1380056005.6005604267,-79.67702484130859375,
1380064006.4006404877,-79.90984344482421875,
1380072007.2007205486,-78.1724395751953125,
1380080008.0008006096,-79.3296356201171875,
1380088008.8008806705,-79.34000396728515625,
1380096009.6009607315,-80.14807891845703125,
1380104010.4010407925,-78.8503265380859375,
1380112011.2011208534,-80.50113677978515625,
1380120012.0012009144,-79.9571685791015625,
1380128012.8012809753,-79.28023529052734375,
1380136013.6013610363,-79.46080780029296875,
1380144014.4014410973,-78.71877288818359375,
1380152015.2015211582,-79.44207763671875,
1380160016.0016012192,-79.6190948486328125,
1380168016.8016812801,-80.84337615966796875,
1380176017.6017613411,-80.111541748046875,
1380184018.4018414021,-79.96105194091796875,
1380192019.201921463,-80.3468475341796875,
1380200020.002001524,-80.38796234130859375,
1380208020.8020815849,-79.753326416015625,
1380216021.6021616459,-79.224884033203125,
1380224022.4022417068,-80.45026397705078125,
1380232023.2023217678,-80.5119781494140625,
1380240024.0024018288,-80.25316619873046875,
1380248024.8024818897,-79.62329864501953125,
1380256025.6025619507,-79.75333404541015625,
1380264026.4026420116,-79.39113616943359375,
1380272027.2027220726,-80.04772186279296875,
1380280028.0028021336,-79.8388824462890625,
1380288028.8028821945,-79.85993194580078125,
1380296029.6029622555,-79.72076416015625,
1380304030.4030423164,-79.03734588623046875,
1380312031.2031223774,-77.86417388916015625,
1380320032.0032024384,-80.27374267578125,
1380328032.8032824993,-79.94364166259765625,
1380336033.6033625603,-79.4293365478515625,
1380344034.4034426212,-80.01451873779296875,
1380352035.2035226822,-80.2496795654296875,
1380360036.0036027431,-78.30677032470703125,
1380368036.8036828041,-80.40988922119140625,
1380376037.6037628651,-79.0138702392578125,
1380384038.403842926,-79.83937835693359375,
1380392039.203922987,-79.88919830322265625,
1380400040.0040030479,-80.13674163818359375,
1380408040.8040831089,-80.4098968505859375,
1380416041.6041631699,-78.6848602294921875,
1380424042.4042432308,-80.72676849365234375,
1380432043.2043232918,-79.6265869140625,
1380440044.0044033527,-80.36969757080078125,
1380448044.8044834137,-79.06179046630859375,
1380456045.6045634747,-79.436187744140625,
1380464046.4046435356,-80.34991455078125,
1380472047.2047235966,-79.07796478271484375,
1380480048.0048036575,-79.19203948974609375,
1380488048.8048837185,-79.58335113525390625,
